par_nr	head	sentence
1	 Peegelleitnandid 	 Peegelleitnandid 
2	NA	 Baieri Alpide järsul nõlval kõrgub keset okaspuumetsa otsekui muinasjutust pärit Neuschwansteini nime kandev kuningaloss . 
2	NA	 Kes seda kasvõi kaugelt eemalt silmanud on , tahab kindlasti selle juures ära käia . 
2	NA	 Nii väga peibutab see meis lapsepõlvest saadik peituvat romantikut . 
2	NA	 Need tornid ja müürid järsul mäenõlval . 
2	NA	 Kindlasti on sellega seotud mõni legend ristisõtta läinud üllast rüütlist ja temast lossi vailitsema jäänud kurjast vennast , kes truud kauni hingega abikaasat ahistas , kuni surnuks arvatud üllas rüütel kunagi aastakümnete pärast naasis , end rändkomödiandiks maskeerides koos oma ustavate sõjasangaritega lossi sisenema pettis ja viimasel hetkel kurja venna alatu abiellumise tema naisega lörri ajas . 
2	NA	 Ehk on veel kusagil müüris ka jäme-rohmakas sepistatud konks , mille otsa lurjusest vend seejärel poodi . 
3	NA	 Aga asi polegi nii lihtne , nagu tänapäeval harjumuseks on saanud . 
3	NA	 Autoga lossi juurde ei pääse . 
3	NA	 See tuleb alla , linnakese parkimisplatsi jätta , nagu sajad ja tuhanded teisedki romantikaihalejate autod . 
3	NA	 Sealt saab osta piletid . 
3	NA	 Edasi võib valida kas jalgsimatka , mis tõotab tublit higistamist , või siis asuda järjekorda , mida otsast kahandavad jämedate , karvaste jalgadega raskeveohobuste paarisrakendite veetud vankrid . 
3	NA	 Huvilistesülem peale , ja kutsari meloodiliste hõisete ning lapsepõlvest koduse kabjamüdina saatel liigub koorem mägiteele . 
4	NA	 Kusagil seal , keset päikesepaistet , värvikaid suveniirikioske ja jäätisemüüjaid , keset suviselt kirevat rahvavoolu , peatus mu muljeist küllastunud ja hajameelne pilk korraga temal . 
4	NA	 Mees auväärseis aastais , pikk ja tüse , hõbedane lokipärg päevitunud paljaku ümber ... 
5	NA	 Miks mul korraga veri kõrvus kohisema hakkas ? 
5	NA	 Olin vist liiga kaua palava päikese käes seisnud . 
5	NA	 Ma ei saanud seda inimest mingil juhul tunda . 
5	NA	 Ta kindlasti tuletas vaid mulle kedagi meelde . 
5	NA	 Aga keda ? 
5	NA	 Ja miks see mind nii erutas ? 
6	NA	 Lõpuks oli see vist vanahärra natuke kohmakas samm , paremat jalga kohendav liigutus , enne kui vankrile astuda ... 
7	NA	" Ma sõnasin poolihääli : "" Väino . "" "
7	NA	 Nimetasin ühe Eesti-Soome mehenime , mis siinses ümbruses kindlasti kellelegi sobida ei võinud . 
7	NA	 Ja ma rõhutan , mu tunded olid mõistusest mitu sammu ette jõudnud . 
7	NA	 Ma ei teadnud ise , miks ma selle kahesilbilise sõna laususin . 
8	NA	 Mitte midagi ei toimunud . 
8	NA	 Veidi jalga liipav vanahärra astus veel ühe sammu sõiduki poole , sirutas juba käe , et end üles vinnata Ja võpatus käis läbi ta laiade õlgade . 
8	NA	 Kummuv turi hakkas aegamisi pöörduma . 
8	NA	 Seisin temast kolme sammu kaugusel järjekorras , keset mehi , kes kõik oleksid võinud selle sõna öelda . 
8	NA	 Kindlasti ei olnud hetk sobiv , et hakata mingeid segased mälestusi klaarima . 
9	NA	 Luitunud-sinised silmad tabasid mu pilgu . 
9	NA	 Hetk . 
9	NA	 Ma ei lasknud mingit ilmemuutust oma näole . 
9	NA	 Ja vana mees vinnas end vankrile ning see hakkas liikuma . 
9	NA	 Meie pidime sõitma järgmisega . 
10	NA	 Kas see võis võimalik olla ? 
10	NA	 Sa tundsid lapsepõlves ühtainust sakslast . 
10	NA	 Pool sajandit hiljem sõidad korraks Saksamaale , ja sa kohtad teda ? 
10	NA	 Pigem olin muljete üleküllusest väsinuna jõudnud staadiumi , kus aina tundub , et oled kõike juba korra kogenud , igat inimest tundnud . 
11	NA	 Väino . 
11	NA	 Mida ma temast üldse teadsin ? 
12	NA	 Puristavad ja sabadega vehkivad hobused vedasid nagu vaevata meie vankrit mäkke ja metsalatvade vahel kasvasid uhke lossi tornid ning müürid aina kõrgemaks . 
12	NA	 Seal nad puurisid oma teravaid katusekoonuseid puhtasse mägitaevasse , ja mind valdas aina suurem kummastus . 
12	NA	 Kogu see muinasjutuline mägipesa võis sündida vaid hullust fantaasiast . 
12	NA	 Mingid arukad ümberehitused poleks saanud keskaegset mägilossi ealeski selliseks kujundada . 
13	NA	 Ma loomulikult teadsin , et see polegi mingi keskaegne loss , kuigi siin kunagi üks sellinegi oli asunud . 
13	NA	 Selle varemed inspireerisid 19. aastasaja keskpaiku Baieri hullu kuningat Ludvig II rajama siia fantaasialossi . 
13	NA	 Vanast Hochenschwangau lossist sai võimuta valitseja pikksilmaga jälgida , kuidas need müürid kerkisid . 
