par_nr	head	sentence
1	 EGO 	 EGO 
2	 1 . MODERATO 	 1 . MODERATO 
3	NA	 Näidake mulle jah malevlasi . 
3	NA	 Nagu mul oleks enne hea tuju olnud . 
3	NA	 Kõik on vastupidi , isegi mu viha on vastupidi , see pole selline ere südameklopper viha , kui sa oled tulnud juuksurisalongist ja sulle on pähe susatud hõbeda alatooniga värvi , kui sa tahtsid kuldset , või kuldset , kui sa tahtsid hõbedast , või veel hullem - kui nad on kokku segatud , nagu kunagi tegid need kaks olümpiavõitjat , kes tahtsid olla vennalikud ja valasid hõbeda ja kulla kokku , sest nende tulemustel oli nii imepisike vahe , aga juuste peal on iga vahe suur . 
3	NA	 Näiteks selle malevlase juuksed on vitaal-ideaal pruunist väga kaugel , nii nagu malevlane ise on oma tühja sebimisega kaugel kaugel rahulikust ja mõtlevast ida inimesest . 
4	NA	 Komedoon , komedoonid , koprahammas , valge , muud hambad , beezhid , säh-seletused , kaitsekulutused suurenevad kultuuri arvelt , noorte-erakonnad , mina kuulan , sina tead . 
4	NA	 Seda sa ei tea , et kui suruda pea vastu mu patja , seest tanguteradega täidetud orgaanilisse patja , kuuleb sealt merekohinat , ja täna on see kohin nii agressiivne , sama agressiivne kui sinu esinemine , ja mitte isegi su esinemine , vaid kogu olek . 
5	NA	 Õpid mingis USA ülikoolis , kuskil Missisippi kandis , kuule aga head on ju kõik üleval idas või Californias , ja üldse - kus on karisma , ujedus , vaimukus ? 
5	NA	 Ja sügavmõttelisust paljastav traagiline helk ? 
5	NA	 Parlamentaarne , internatsionaalne , üliõpilasväitlus , uhke , sa oled nii uhke , et oled pealiskaut ja jooksed kahe basseini vahet , ilma et kummaski ujuda saaks . 
6	NA	 Mu padi sokib , et sa oled vähemalt paar korda keppi saanud mingilt neiult ( just nimelt neiult , mitte näkilt , chickilt , bimbolt , naiselt , tüdrukult , vaid kõige jamamalt neist ) . 
6	NA	 Ja sa isegi loed midagi ! 
6	NA	 Näita , näita lähemalt ! 
6	NA	" "" Organisatsioonipsühholoogia "" ja "" Kuidas olla hea ülemus "" - selliseid asju teavad tundlikumad tüübid loomulikust valgusest , aga sina loe - loe julgesti , ja ära unusta ajalehti , vaata et sa ei jäta USAs vahele ühtki artiklit , kuidas Viru-Nigulas nügelevad omavalitsused ja siseminister ületas kiirust . "
7	NA	 Keegi neiu , pintsak , kena , ninasopran , kole , aga ma ei ole , saa aru , ei ole mingi semiootik , kes suudab igalt pildilt leida üles liivakella , ütleme siis lihtsalt - keskmine kehaehitus . 
7	NA	 Klishee , polemisee , tsitee - partitsiip , ON teinud . 
7	NA	 Sa oled juba jõudnud kõiki neid asju teha ja - ekraanil oled olnud - kaks minutit ! 
7	NA	 Pole viga , nagunii vaatad hiljem videolt seda kahte minutit kaks kuud ja oled heldinud enda käibetõdede tõlkimisest . 
7	NA	 Aa , pole aega heldinud olla , sest unistad saada suhtekorraldajaks , õppejõu tekst sõna-sõnalt kirja , väga head hinded , peavadki olema , kui pole muresid , isegi cashimuresid , siis on ju lihtne keskenduda , feminismiloengud , kutiga sööma minnes demonstratiivselt ise maksmine . 
8	NA	 Aga piisad ? 
8	NA	 Kus on piisad ? 
8	NA	 Üks piisk traagilisust , teine piisk mängulisust , kolmas piisk ujedust ? 
8	NA	 Ei ole ? 
9	NA	 Muidugi ei ole . 
9	NA	 On hüper-organiseeritud bussireis Pariisi või Prahasse ja siis seal bussis kõkutamine nende üle , kes on ujedamad , mängulisemad , traagilisemad , ja pildile-vaat ! muuseumis , kuni giid käsi plaksutab . 
10	NA	 Ja üks boyfriend - kes on sind oskamatult , aga visa-tempokalt rahminud nagu rehepeksumasin , tema on armastuse võrdkuju . 
10	NA	 Ja hea filmi võrdkuju on see , kus rezhissöör näitab mustvalgelt ja vilksamisi , kust pärinevad meestekoba peategelanna kompleksid - kuidas meela naeratusega isa kümneaastast tegelannat tagumikust näpistab , ja siis ei suuda tüdruk täiskasvanuna suhteid luua . 
10	NA	 Sa vaatad seda filmi ja tunned endas veel suuremat iha hakata suhteid korraldama . 
11	NA	 Okei , aitab , te mõjute nagu ravitallad , viite kogu mürgi kehast välja , aga mingi mürk peab ju alles ka jääma . 
12	NA	 Tegelikult pole kõik veel kadunud . 
13	NA	 Üks mu tuttav oli ka alguses n e i u , aga siis haigestus ta ema vähki . 
13	NA	 Vaene tüdruk käis ringi nagu zombi ja süstis kolm korda päevas emale morfiini . 
13	NA	 Haigus oli nii viimases faasis , et oli selge , et ema pidi surema , aga see oli slow motion surm . 
13	NA	 Tüdruk oli kuulnud , et arstid teevad mõnikord omavolilist eutanaasiat , süstides sisse mitu korda suurema annuse morfiini , aga loomulikult ei julgenud tüdruk seda arstidelt paluda , veel vähem ise teostada , kuigi päästa polnud enam midagi . 
13	NA	 Kõlagu kui küüniliselt tahes - tüdruk kaotas ema , aga võitis tunnetuse , võitis iseloomu , võitis traagilisuse . 
13	NA	 Ja kui ta bussis loksus , arvestas ta , et pooled bussisviibijaist võisid olla kannatanud veel rohkem kui tema . 
13	NA	 Ja tüdruk ei olnud enam rõveülbe , vaid rahulik , stiilne poolülbe . 
13	NA	" Enne ema haigust oli ta mõnitanud modelle nende "" meil on nii raske töö "" - räppimise pärast . "
13	NA	 Nüüd ei julgenud tüdruk enne midagi arvata , kui ta konkreetsest inimesest midagi rohkem teab . 
14	NA	 Mina ei tea teist mitte midagi , aga julgen arvata küll . 
14	NA	 Miks ma ei peaks julgema , mul on tanguteradest padi ja merevaigust madrats ja kui ma viitsin pingutada , kleepub triikraud mu külge nagu magnet . 
15	NA	 Lihtsalt TUNDUB , et teil pole mängulisust , traagilisust , ujedust . 
16	NA	 Need kolm piiska on mu trump , neiu , muidu on nii , et sina oled titaan , ja mina titaanik . 
16	NA	 Minu elu möödub ju ratastoolis . 
16	NA	 Vat kus tuli puänt praegu ! 
16	NA	 Täiesti kogemata , vannun , et täiesti kogemata . 
16	NA	 Pole üldse minu stiil , et kõigepealt freudistlik võsa , ja hiljem selle tagant tuum välja . 
16	NA	 Ja ega ma pole nagu see niinimetatud pime New Yorgi metroos , kes jaotab rahvale flaiereid : andke raha , olen pime ! , korjab siis laialijagatud paberid ilmeksimatult kokku ja astub järgmisse vagunisse . 
17	NA	 Mina ei taha mingeid puänte . 
18	NA	 Tegelikult mind huvitaks teada , kas ma teiega rääkida saaks . 
18	NA	 Vaadake , kui vestluskaaslases on natukenegi ebasiirust , kaob mul kõnevõime . 
18	NA	 Kui aga kaaslane on uuesti siiras , tuleb hääl tagasi . 
18	NA	 Enamasti arvatakse , et mul on küll hea tunnetus , aga hääle äraminekut ma näitlen . 
18	NA	 Nagu ma jõuaks kogu aeg näidelda ! 
19	NA	 Ja oleks see siis raskelt eripärane omadus . 
19	NA	 Isegi mu kassil on teatud selekteerimisvõime . 
19	NA	 Ta kuseb nõmedate külaliste voodisse . 
20	NA	 Ükskord viis ema mu psühholoogi juurde , et teada , kas ma siis näitlen või mitte . 
21	NA	 Psühholoog oli umbes nelikümmend viis , liiga sotsiaaltöötaja tüüpi - selline , kes arvab , et on seksikas olla abitu ja lõtv ja kurrunurrumuti häälega . 
22	NA	" "" Tere , mis su nimi on ? "" "
23	NA	" "" Mia , "" vastasin . "
24	NA	" "" Palun räägi oma elust ja mõtetest , "" ütles psühholoog . "
25	NA	" "" Kas pikalt ? "" küsisin . "
26	NA	" "" Nii pikalt , kui vaja , "" vastas psühholoog . "
26	NA	" "" Mulle on alati muinasjuttudes meeldinud need karjused , kes räägivad mööduvale rändurile ära kõik , mis meelde tuleb . "" "
26	NA	" ( See oli siiruse piiri peal , psühholoog , sa oleks pidanud ütlema : "" Mulle on alati meeldinud need patsiendid , kes lobisevad kogemata välja mõne rasvase lapsepõlvedetaili . "" ) "
27	NA	" Ja siis ma mõtlesin , kas see ongi siis olukord , mida kutsutakse "" võõras kiirrongis "" , aga kuna nagunii on kõik inimesed mulle võõrad , hakkasingi rääkima , poolsosinal : "" Meid on kolm talu järjest , jah - nagu Bullerby ja sigu me enam ei pea , sest nad hakkasid dieeti pidama , justkui tunnetades , et nii saab elu vähe pikem . "
28	NA	 Ma ei taha Bullerby idülli mustata praegu , aga ühes talus on meil füüsiline , teises vaimne ja kolmandas kosmiline kiiks . 
28	NA	 Ega see ei tähenda , et tänapäeval enam rahulikku maaidülli olemas olla ei saa . 
29	NA	 Meie põhjapoolsetel naabritel on vaimse puudega tütar . 
29	NA	 Ta on palju õnnelikum kui mina . 
29	NA	 Ja tal on võimalus osaleda nendel ülemaailmsetel lollide päevadel , kus Brüsselis või Londonis on mingi fond kinni cashinud suured lukshotellid ja konverentsisaalid , ja igalt maalt paar lollide alagrupi esindajat jagab teistega muljeid , kuidas ikka hommikul süüa saab , mida telekast näeb ja nii edasi . 
29	NA	" Need "" konverentsid "" lihtsalt cashitakse kinni , saage aru , ja samal ajal istuvad normaalsed lapsed kuskil näljas või neil pole raha , et kinno minna . "" "
30	NA	 Psühholoog noogutas ja nurrus ja mina jätkasin , tirides teda vägivaldselt edasi oma monomaailma : 
31	NA	" "" Need cashijad ja ressursside raiskajad lugegu Peter Singeri isiku ja mitteisiku-teooriat . "
31	NA	 Kõik inimesed pole sugugi ülemad kui loomad . 
31	NA	" Kui mingi loom tuleb ise endaga toime , on ta igal juhul "" ülevam "" ja mõttekam olend kui inimene , kes on juba sündimisest saati olekus , kus teised teda vahetpidamata talutama peavad . "
31	NA	 Giga-vigased olevused tuleb teiste säästmiseks visata kuristikust alla nagu Spartas . 
32	NA	" Võibolla on mu arvamused liiga radikaalsed "" ( "" On-on , "" noogutasid psühholoogi silmakurrud . ) "
33	NA	" "" Olen olnud maailmast ära lõigatud , keegi pole mind otseselt seganud ega piinanud , ja sellised tingimused lihtsalt sunnivad olema originaalne , "" lisasin kurrudele . "
33	NA	" "" Mis siis , et kõik mu näited pärinevad raamatutest ja filmidest . "
34	NA	 Lõunapoolses talus on kosmiline kiiks . 
34	NA	 Nende lapselaps Dea on mu alter ego . 
34	NA	 See on tüdruk , kel on minuga samad puudused ja teistelt varastatud mõtted , aga tal on välimus ja tervis . 
34	NA	 Elu on tal jällegi raskem - kellele jumalad on rohkem andnud , neilt ka rohkem nõuavad . 
34	NA	 Palun andestage see klishee . 
34	NA	 Võibolla hakkan varsti parasiitsõnu ka kasutama , nagu teevad kuulajate hoidmiseks kavalamad raadiotöötajad . 
35	NA	 Selle tüdruku elu on minu elu . 
35	NA	 Ma olen ta kohta kõik välja uurinud , selle põhjal , mida on rääkinud ta ise ja märgid ta ümber ja minu kujutlusnõrkus . 
35	NA	" Jah , ma olen haiglane nagu seltskonna-ajakirjanik , kõik cashi- ( h ) imu pärast , ma isegi ei häbene seda teile tunnistada , enamuse kurjade tegude all on ju vaesus ja kadedus . "" "
36	NA	" "" Mida sa mõtled kurja teo all ? "" küsis psühholoog . "
37	NA	" "" Seda , et ma tahan oma alter egost kirjutada raamatu . "
37	NA	 Stiilselt . 
37	NA	 Seal on barokk ja seal on rokk . 
37	NA	 Kuid seda ei oska mu kujutlusnõrkus ette arvata , kas tüdrukule see raamat meeldiks või mitte . 
37	NA	 Kõik , kes selle raamatu ostavad , saavad juurde taset ja siirust . 
37	NA	 Aga võibolla mu alter ego ei usu , et ma tahan anda taset ja siirust , ta arvab , et ma süütan linna , et selle tulekuma paistel öösel viiulit mängida . 
38	NA	" Ja kõigepealt tuleb üks vanem naiskriitik , ta on hästi eetiline ja lugupeetud inimene , kes soovitab teoseid raamatusõprade klubile , ja ta nutab , nutab lörinal , ma ei saa aru miks , see on nagu kehvade filmide algus , kus rezhissöör üritab iga hinna eest vaataja tähelepanu köita , ja see on nii piinlik , sest sa ei tea veel nutu põhjust , ja lõpuks naiskriitik ütleb : "" Sul ei ole pikki kirjeldusi , ei ole sügavust , ei ole empaatiavõimet , ei ole eetikat , ei ole ilusaid kujundlikke näiteid . "
38	NA	 Traditsioonilise ilu asemel on sul nimed ja närvilisus . 
38	NA	" Ja see ei ole selline tähendusrikas närvilisus , nagu on modernistidel . "" "
39	NA	" Ja mina vastan : "" Kas ma pean siis tegema mingi loomulikkust ülistava manifesti , nii nagu tehti filmide jaoks Dogma 95 ? "
39	NA	 Ma võtan lugejat kui sõpra . 
39	NA	 Ja sõbrale ma ei jäta nimesid nimetamata , kõik läheb kontrollimatus voolus , miks mitte . 
39	NA	 E-he-dus ! 
39	NA	" E-he-dus ! "" "
40	NA	 Ja vanem naiskriitik väljastab iga mu silbi peale ühe pisara . 
41	NA	" Ja siis tuleb kitsastes teksades popkriitik - selline , kes teeb igast popparist huvitava isiksuse , ja ütleb : "" Teie romaanist jääb mulje , et kallate kastekannust tulist vett suhkrust tüdruku peale ? "" "
42	NA	 Ja ma ei vasta midagi , hea on hiljem lehest lugeda , mida kriitik ise välja sepitseb , igasuguseid Baudrillarde ja ülepingutusi appi võttes . 
42	NA	 Pole ju tingimata nii , et iga asi midagi tähendab . 
42	NA	 Kunstnik maalib pildinurka valge lambukese mitte kristliku alatooni pärast , vaid sellepärast , et see sobib taustaga ja täidab kompositsioonis tühja augu ja on ilus . 
43	NA	 Ja ilu pärast ootan ma üht voolu , märki , et sellega kaasa minna ja asi ühe hoovooga valmis kirjutada . 
43	NA	 Pastakast välja imetud tehisjutud on kõik ilma vooluta , nagu näiteks raamat sellest kuidas Auschwitzis tuhast , prügist ja väljaheidetest inimesi meisterdati . 
44	NA	 Ja kolmas kriitik on noor naine , terav ja kohkumatu - selline , kes rootsi filmides tirib mehe ees särgi üle pea , mis siis , et tal koledad rinnad on . 
