par_nr	head	sentence
1	 VELLO SOHKANDI SURM 	 VELLO SOHKANDI SURM 
2	NA	" Ma pidin helistama , et küsida , kuidas "" Sõuhkand "" kirjutati — et kas sõu või söu või söuh . "
2	NA	" Mu avaldus politseile , jah , oli juba esimese lause juures toppama jäänud : "" Teatan , et mul on kindlaid andmeid selle kohta , et Vello S ... "" , aga mis edasi , kas Õ või Ö ... ja kas oli selle va sõu järel olnud ikka ka H või tuli kohe kand ? "
2	NA	" Minu meelest oli ta enda kohta ütelnud : "" Tere , rõõm teiega tuttavaks saada , mu härra , minu nimi on Vello Sõuhkand . "" "
2	NA	 Aga see oli ammu , ja tema hääl oli imelik . 
2	NA	 Samuti ta nina ja nägu . 
2	NA	 Ja ta silmade vaade . 
2	NA	 Ta oli inetu . 
2	NA	 Hääl oli käre , nagu tekitanuks tal seda häälepaelte asemel käristi . 
2	NA	 Teised olid aga temast rääkinud imelikult selle o ja h kohal . 
2	NA	 Helistasin metsamehele , Vello pinginaabrile Otepää koolist . 
2	NA	" "" Oot , kirjutati ikka Sohkand , "" ütles tema ... "
3	NA	 Huvitav , kas tõesti ? 
3	NA	 Ei — pigem Sühkand või Siukand või isegi Sssjuhkand ! 
3	NA	 Aga mitte lihtsalt Sohkand . 
3	NA	 Mhh . 
3	NA	 Aga metsameest pidi uskuma . 
3	NA	" "" Miks sa küsid , "" küsis tema . — "" Ah , niisama , ma , tead , ee , mul üks tuttav kiviraidur on , temale ütlesin , et näe , Sõuhkand surnud , ta küsis , et ega kivi pole vaja . "
3	NA	" Ma , ma ... mõtlesin , et miks mitte , ta siis lubas kavandi teha , aga , noh , me ei teadnud kumbki , et kuidas ta nimi ... "" "
4	NA	" "" Too näha ! "" ütles metsamees . "
5	NA	" "" Mm , et näha — mida ? "" "
6	NA	" "" Kavand , kui valmis saab . "
6	NA	" "" "
7	NA	" "" Aa , jaa muidugi , hea meelega ... "" "
7	NA	 Häda häda otsa , kust ma selle kivi pildi pidin nüüd välja võtma — miks ma üldse midagi sellist olin välja mõelnud ? ! 
8	NA	 Kuid ! 
8	NA	 Muidugi , ma ei saanud ju , ma ei võinud ju öelda , et kirjutasin hoopis avaldust politseile , et hoopis selleks vajasin nime kirjapilti . 
8	NA	 Ei , ei , ei . 
8	NA	 Seda ei tohtinud mitte keegi teada . 
9	NA	 Kuhu ma olingi jäinud . 
9	NA	 Ahaa , üsna alguses alles : 
10	NA	 Tartu Politseiprefektuurile 
11	NA	 Jüri Ehlvest , 
12	NA	 novellist 
13	NA	 avaldus . 
14	NA	 Teatan , et mul on kindlaid andmeid selle kohta , et Vello — niisiis ! — Sohkandi surm ei olnud ... 
15	NA	 Vot , jälle takerdusin . 
15	NA	 Mis ta ei olnud ! ? 
15	NA	 Kuidas saab surma kohta öelda , et see EI OLNUD midagi . 
15	NA	 Midagi — seda või teist ! 
15	NA	 Ei , surm on kõik . 
15	NA	 Surm on alati kõik . 
15	NA	 Aga hea küll , pean selle töö ühe jutiga valmis saama ! 
15	NA	" Nii kui võtan uue paberi , võin meelekindluse jälle kaotada , hakata kahtlema , kõhklema , "" mis see õieti minu asi on "" — taoliste peletusloitsudega vehkima . "
15	NA	 Ei , kuradile , see pole siin mingi olemist ja olematust lahkav mõtlusõpetus , see on lihtsalt üks teadaanne jõustruktuurile , siin võib surm olla , mis tahes , keerutagem end välja : 
16	NA	 Sohkandi surm ei olnud esile kutsutud tema enda poolt ainult ja tema süül , vaid seda põhjustas ka teiste inimeste teatav käitumine . 
17	NA	 Oh , jeerum , nüüd tuli küll midagi väga-väga sügavat välja , jätkem jama ! 
17	NA	 Öelgem ära , mis öelda on : 
18	NA	 Mul on kindlaid tõendeid , et Vello Sohkand mõrvati . 
19	NA	 Kust ma need tõendid sain ? 
19	NA	 Aga õhust . 
19	NA	 Mul polnud vaja neid koguda . 
19	NA	 Ma vaid võrdlesin , asetasin ... küsida — otse ja jõhkralt — oli mul vaja lõpuks üsna vähe . 
19	NA	 Aga siis oli ka tõde , ühene , käes . 
19	NA	 Kuigi , kuni viimase hetkeni olin lootnud , et ikkagi midagi muud oli see olnud , kasvõi enesetapp , nagu Abel nii kindlalt uskus . 
19	NA	 Et Sohkand olevat mitu korda rääkinud , et surm kutsub , surm kutsub . 
19	NA	 Või et õnnetusjuhtum . 
19	NA	 Kuigi , kui päris aus olla , siis täitsa alguses , siis kui Abel mulle pärast naistepäeva esimest korda selle uudisega helistas , siis olin ma mõelnud , et see polegi kindlasti õige surm . 
19	NA	 Noh , mitte selline surm , millese surevad tavalised inimesed , vaid ikka üks sellistest Sohkandi surmadest . 
19	NA	 Sest mitu korda oli ta enne surma juba olnud surnud ! 
19	NA	 Kes seda jõuaks kokku lugeda . 
19	NA	" Abeli autojuht Enrik olevat kohe käega löönud : "" Ah , seda Sohkandit , temale on suremine sama , mis mõnele lihtsale sulile punase tule alt läbi sõita . "
19	NA	 Küll ta varsti ilmub välja , hea ongi , et saab veidikeseks tema lorast rahu . 
19	NA	" "" "
20	NA	 Jah , siis kui Abel helistas , siis olin ka mina mõelnud nagu Enrik , sest — otse loomulikult ! — ega siis Sohkandi laipa veel kuskil polnud . 
20	NA	 Ta suri ikka nii , et algul liikus kumu mööda linna ringi , et ta olevat järjekordselt ära surnud , kuid ei teda ennast ega tema laipa polnud keegi juba mitu nädalat näinud . 
21	NA	 Abel küsis minu käest ka , et ega ma teda näinud ei ole . 
21	NA	 Pidin tunnistama , ei olnud näinud , ei elusalt ega laibastunult . 
22	NA	 Kuid keegi siiski juba oli . 
23	NA	 Viimane surm enne Sohkandi päris-surma käis nii , et ta hüppas ühel veebruariööl illumineeritud kaarsilla kaare pealt alla Emajõkke ja kadus jää alla — sillaalusesse roiskveelahvandusse enam ilmumata . 
24	NA	 Kolm päeva pärast seda kohtasin teda Abeli saunas . 
24	NA	 Ta tundis uudishimust rõõmu , pajatas seitsmeteistkümnendat versiooni oma kummalisest seiklusest sel hetkel , kui mina lavale jõudsin . 
24	NA	 Ta oli märg , tilkuv , seletav , õiendav ja õnnelik , viht käes . 
25	NA	 Ta oli hiljuti saanud nelikümmend aastat vanaks . 
26	NA	 Ta oli veel sellest põlvkonnast , kes mäletas oma esimest sini-must-valge heiskamist elu lõpuni . 
26	NA	 Sohkandi heiskamist mäletavad elu lõpuni ilmselt aga ka need , kes kas selle võrratu sündmuse tunnistajaiks ise olid , või olid ainult kuulnudki . 
27	NA	 Kümme aastat tagasi leidsin ma sõrmuse , mida praegu kannab mu naine , meie laste ema ( väike jõmps ajab end üha sagedamini püsti ja aina naerab , peab hakkama asju kõrgemale tõstma ) . 
28	NA	 Ma sõitsin siis , kümme aastat tagasi , autoga — siis oli see veel suhteliselt korralik Fordilogu — mööda päikest täis tänavat , õieti puiesteed puumajade ja laiade kõnniteede vahel , nagu neid ka tänaseks Tartusse veel õnneks mitmeid on jäänud . 
29	NA	 Hommikune tee oli päikesest kuldne ja täiesti inimtühi . 
29	NA	 Ka ühtegi autot polnud peale minu oma , siis oli autosid üldse vähem . 
29	NA	 Sõitsin , arvatagi , ettevaatlikult , olin load alles saanud , ja tol ajal oli nende kohustuslike sõidutundidega just nii , nagu oli , ja eksamil topiti ikka veel neli jõmmi korraga sisse , sada meetrit igale sõitu ja vsjoo . 
29	NA	 Aga , ma ei taha sugugi öelda , et ma poleks osanud sõita ! 
29	NA	 Ei , asi oli ikka muus . 
29	NA	 Asi oli sõrmuses . 
