par_nr	head	sentence
1	 Suvi 	 Suvi 
2	NA	" "" Tagantjärele , nüüd , kus mäletan selle juunikuu lõhna , seda kastanivõradest täidetud õhustikku , naiivset taevast mullaste tänavate ja roheliste-valgete puude kohal , ennast oma süüdimatu , lihtsameelse diplomitööga , tundub mulle , et oli algamas igavene suvi . "" "
3	NA	 Jaak Jõerüüt 
4	NA	 Inimesed olid linnast jalga lasknud , õigupoolest juba ammu , istusid nüüd taludes või suvilates , omades või võõrastes , oskamata endaga midagi kasulikku peale hakata - lõikuskuu lõpp käes - ning tahtmata ka linna tagasi minna . 
4	NA	 Ka Kaaren polnud mingi erand . 
4	NA	 Linnaminek tähendaks , et sügis hakkab kätte jõudma ja peab jälle inimeseks saama - mõeldagu selle all mida tahes , halb oli see igatepidi . 
4	NA	 Järelikult tuleb siia jääda . 
4	NA	 Igavene suvi . 
5	NA	 Esialgu polnud kohal ju vigagi . 
5	NA	 Grammer , säng , plaadid , pastakas , vihik , vesivärvid , sein , põdranahk põrandal , elektriradikas - muidu läheb külmaks , raamatud . 
5	NA	 Kõik võimalused tarkade mõtete mõtlemiseks - aga nagu sellistel juhtudel tavaks , ei tulnud tarku mõtteid pähe . 
5	NA	 Äsja tekkinud üksildustunne muutus korraga ängistuseks . 
5	NA	" Kaaren võttis punakaskollase tigudiivani ees põdranahal seisvalt valge heegeldatud linikuga kaetud mustalt vanamoodsalt diivanilaualt pooltühja "" Zolotoje Runo "" paki ning õngitses sealt ühe suitsu . "
5	NA	 Aga ikka ei tulnud mitte keegi külla , tõsi küll , ta oligi sõpradele öelnud , et ei taha kedagi näha , siin vähemalt , peale neid sigadusi , mida siin korraldatud oli . 
5	NA	 Väljast kostis mootorrattamürinat , seejärel värava avamisel tekkiv kolksatus ning kruusakivide klogin kellegi sammude all . 
5	NA	 Kaaren vaatas toas kiiresti ringi - kas jõuaks veel mõned purunemist kartvad asjad ära peita . 
5	NA	 Keegi kloppis juba uksele , aga Kaarnal oli aknaraami külge kinnitatud mootorrattapeegel ning kõigepealt hiilis ta selle juurde piiluma . 
5	NA	 Peeglist paistis Võlur . 
6	NA	" "" Miks sa kolistad ? "" imestas Kaaren . "
7	NA	" "" Enne sisenemist tuleb ikka koputada , "" irvitas Võlur võimalikult kitsast ukse ja uksepiida vahele tekkinud praost tuppa hiilides . "
7	NA	" "" Kus siis teised on , miks ma tervitushüüdeid ei kuule ? "" uuris Võlur , otsides kedagi diivani ja laua tagant , nurkadest ja koguni põdranaha alt . "
8	NA	 Kaarnal läks juba meelest ära , et ta oli igavlenud . 
8	NA	 Võibolla oleks talle üksinduses midagi head pähe tulnud , aga enam polnud midagi parata , Võlur , tuntud nipivend , oli platsis . 
8	NA	" "" Oli sul , noh , midagi plaanis ka või ? "" küsis Kaaren ettevaatlikult . "
9	NA	" "" Ei olnud , "" vastas Võlur plaate sorides . "
10	NA	" "" Ja sikkel muudkui tõi ise su siia ? "" imestas Kaaren . "
11	NA	" "" Sikkel näh , "" kinnitas Võlur . "
11	NA	" "" Sa oled endale uue "" Stranglersi "" saanud ? "" "
12	NA	" "" See pole minu oma . "
12	NA	" Ma võtsin selle Justi käest kuulata . "" "
13	NA	" "" Paneks peale . "" "
14	NA	" "" Ah ära pane , ma just alles kuulasin seda . "
