par_nr	head	sentence
1	 Excelsuse konkistadoorid 	 Excelsuse konkistadoorid 
2	NA	 Indrek Hargla 
3	NA	 Bent vris Zemani juhtum 
4	 I 	 I 
5	NA	 Nad ütlesid , et jääprillide kandmine võib alguses tunduda väga ebameeldiv ja harjumatu , kuid risk silmanägemisest üldse ilma jääda on liialt suur , et Excelsusel nendeta hakkama saada . 
5	NA	 Jääprillid tuleb kohe , juba enne laskurist väljumist ette panna . 
5	NA	 Võimalik , et alguses ei näe sa üldse midagi , rääkisid nad , siis aga ilmub see maailm sinu ette oma täielikus lummuses , täpselt sellisena , nagu ta on , ainult et ilma üliereda valguseta . 
5	NA	 Sa harjud varsti nende vedelkristallidest koosnevate imekergete okulaaridega ära ja ei tunne sugugi , et sa Excelsuse jäämaailma oma enese silmadega ei vaata . 
5	NA	 Mul ei pruukinud peljata , ilma ei jää ma millestki , nii nad kinnitasid . 
5	NA	 Jääprillid ehk gonglatsioonläätsed töötlevad vaid Excelsuse tähtede kiirgust inimesele vastuvõetavaks ja sinu silmad ei saa kahjustatud . 
6	NA	 Kui laskuri vibreerimine lakkas ja tabloole tekkis kiri , mis kuulutas edukast saabumisest Excelsuse vastuvõtubaasi , panin ma jääprillid kõhklemata ette . 
6	NA	 Algul ei tajunud ma mingit muutust , laskuri sisemus paistis endiselt tuhmis valguses . 
6	NA	 Seejärel viskus kõik äkki pimedusse . 
6	NA	 Avastasin , et okulaaride paremasse ülanurka tekkisid tähed ja numbrikombinatsioonid . 
6	NA	 Pisut jääprillide objektiive reguleerides ja silmi kissitades suutsin ka andmeid lugeda . 
6	NA	 Temperatuur , valgustugevus , tuule suund , nähtavus — harilikud meteoroloogilised andmed . 
6	NA	 Olin koos prillidega ka ilmajaama kaasa saanud . 
6	NA	 Ju siis on selline kokkusobitamine Excelsusel vajalik . 
6	NA	 Lisaks avastasin , et jääprille reguleerides võib tabloolt leida ka topoloogilisi andmeid — näiteks nägemisulatuses olevate objektide kauguse kohta . 
7	NA	 Pimedus kadus ja avastasin enda nägevat laskuri sisemust nüüd läbi äärmiselt kerge sinakasrohelise kuma . 
8	NA	 Mind oli ka tuule suhtes hoiatatud — kui tõuseb lumetorm , tuleb Akadeemiasse varju minna . 
8	NA	 Võib juhtuda , et torm möllab kuude kaupa . 
8	NA	 Kuni torm võimutseb , töötavad Kujude kallal heljukrobotid , kes puhastavad neid lumest . 
