par_nr	head	sentence
1	 Maris stella 	 Maris stella 
2	NA	 Ma teenin Jumalat , piiskoppi , hertsogi ja muusat – ja just sellises järjekorras – ning nii oleksin ma pidanud ütlema tollele salapärasele aadlikule , kuid ta teadis võlusõna , mis murdis minu hinges pitseri , millega me ehk liiga vara ja tihti kipume pühitsema end vagadusele ja hülgama seiklusjanu . 
2	NA	" Veel enne kui ta ütles "" Jehanne "" , veel enne kui ta kaval silmapilgutus andis mõista , et ta teab võlusõna , olin ma tema ettepanekuga juba soostunud . "
2	NA	 Jah , tunnistan seda , et olin nõus hülgama oma kohustused Cambrai's ja viivitama oma reisiga tagasi Rooma . 
2	NA	 Ma olin nõus edasi lükkama Savoia hertsogi Amédéé meelitava kutse ja Rimini Malatesta perekonna ettepanekud . 
3	NA	 Sest too mees teadis võlusõna . 
4	NA	 Ta oli sisenenud hämarasse katedraali missa lõpu poole kui lauldi Deo Gratias and Laus tibi Christe , olin teda oreli tagant silmanud - ka seda , et ta lahkumisega viivitas , ta lasi end piiskopil viimasena õnnistada ning hiljem oli ta mulle noogutanud ja kummardanud . 
4	NA	 Ta ootas mind katedraalitrepil ja see väga tõsine ja murelik helk tema silmades kinnitas , et kutse isand Vriesi trahteris juua kann veini ja süüa üks korralik burgundia noor kukk on mõeldud sissejuhatuseks millelegi olulisele . 
4	NA	 See aadlik kandis tagasihoidlikku rõivastust , ta ei tahtnud endale tähelepanu tõmmata ning oma nägu varjas kõrge krae ning kübaraga . 
5	NA	 Algul ma mõtlesin , et see võib olla seoses minu heategija hertsog Philippe'i visiidiga Cambrai'sse , lootsin ehk tähelepanuavaldust õukonna poolt või tellimust kirjutada missa Burgundia hertsogi saabumise puhul . 
5	NA	 Tol ajal liikusid - vähemalt nendes ringkondades , kus minul oli au lävida - kuuldused hertsogi loodud uuest õilsast L'ordre De La Toison D'or'ist , mille esimese kapiitli kokkukutsumisega Lille'i linnas kõik suured isandad ametis olid . 
5	NA	 Räägiti ka , et hertsog soovib sündmuse jaoks väärikat muusikapala . 
5	NA	 Nii et , jah , muidugi ma järgnesin sellele aadlikule . 
