par_nr	head	sentence
1	 Maa ja armastus 9 	 Maa ja armastus 9 
2	NA	 Arno Kasemaa 
3	 9. 	 9. 
4	NA	 Taas oli Tereese niisuguses olukorras nagu paar aastat tagasi , kui ta linna tuli , ilma peavarjuta , ilma teenistuseta . 
4	NA	 Kuhu minna ? 
4	NA	 Kas ehk koju , Vaherpõllule ? 
4	NA	 Kuid selle mõtte tõrjus Tereese kohe peast . 
4	NA	 Ta kujutas ette , millise näo ema ja Leonoore teevad ning milliste sõnadega õnnistavad , kui ta praegu Vaherpõllu uksest sisse astuks . 
4	NA	 Terve päeva hulkus ta sihitult ühest kohast teise , muremõtted peas . 
4	NA	 Kevadõhtu hakkas hämarduma ja linnas süttisid tuled . 
4	NA	 Lootusetult istus ta pargipingile ning ei suutnud kuidagi pisaraid tagasi hoida . 
4	NA	 Millise õnnetu tähe all oli ta küll sündinud , et kõik tema elus aina viltu vedas . 
4	NA	 Nagu oleks kellegi nähtamatu kuri käsi tema saatust juhtinud . 
4	NA	 Tereese sulges silmad ning püüdis oma olukorrale mitte mõelda . 
4	NA	 Kui ta linna tuli , sattus ta nagu poolkogemata õnneliku juhuse peale , sest Tereese pidas kohtumist tolle heledapäise härraga enda jaoks tõepoolest õnnelikuks juhuseks . 
4	NA	 Praegu aga paistis küll sedamoodi , et vähemalt tänane öö tuleb tal veeta siinsamas pargipingil . 
4	NA	 Meel oli sedavõrd nukker , et Tereese andis silmis kipitavatele pisaratele vaba voli . 
4	NA	" "" Mis sul viga on ? "" küsis keegi järsku tema kõrval . "
4	NA	 Tereese avas silmad . 
4	NA	 Võõras heledapäine tütarlaps oli märkamatult samale pingile istunud ning silmitses nüüd kaastundlikult nutvat Tereeset . 
4	NA	" "" Vaatan juba tükk aega , kuidas sa silmi pühid , ega oska ära arvata , miks . "
4	NA	" Mis sind nõnda muretsema paneb ? "" – "" Mul pole kusagile minna , "" nuuksus Tereese vastuseks . "
4	NA	" "" Kas sa oled alles maalt tulnud ? "" – "" Ei , sügisel saab juba kolm aastat . "" "
4	NA	" – "" Kus sa siiasaadik olid , et nüüd järsku enam kusagile minna pole ? "" – "" Härra juures . "
4	NA	 Aga eile õhtul ta solvas mind . 
4	NA	 Lõin teda selle eest näkku . 
4	NA	" Tema aga viskas mu korterist välja . "" "
4	NA	" – "" Kas see oli tolle härra korter ? "" – "" Jah . "
4	NA	" Ta maksis selle ning ka toidu eest , pidas mind üleval , "" tunnistas Tereese puhtsüdamlikult . "
4	NA	" Tütarlaps vaikis pisut , siis lausus : "" Ma võtaksin sind enda juurde . "
4	NA	 Seal on küll pisut kitsas , aga kui sa sellega lepid , siis lähme . 
4	NA	" Ja et sa kohe alguses teaksid , ka minu juures käivad härrad , kuid sellega harjud ära . "" "
4	NA	 Ning tütarlaps asus minekule . 
4	NA	 Tereese viivitas pisut , kuid siis tõusis temagi ning mõlemad hakkasid kesklinna poole astuma . 
5	NA	 Korter , kuhu võõras heledapäine neiu Tereese viis , oli tilluke tuba Müürivahe tänaval . 
5	NA	 Kitsas , tugevasti kulunud kivitrepp viis teisele korrusele . 
5	NA	 Toas oli ainult voodi , luitunud diivan , laud ja paar vineerpõhjaga tooli . 
5	NA	" "" Kui sa sellega rahul oled , võid seniks minu juurde jääda , kuni midagi mõistlikku leiad . "
5	NA	 Sa ehk tahad uuesti mõne härra juurde . 
5	NA	" Oled veel väga noor ja prink , sinu välimuse juures pole raske endale püsivat härrat leida , "" rääkis neiu mantlit seljast võttes . "
5	NA	 Tereese vaatas toas ümber . 
5	NA	 Siin oli tõepoolest ruumi üpris vähe , kuid parem ikkagi kui lausa uulitsal . 
5	NA	 Kuid ülalpidamine ? 
5	NA	 Kust hakkab ta seda saama ? 
5	NA	 Tütarlaps nagu taipas , millele Tereese mõtles ning asus selgitama . 
5	NA	" "" Mina olen vähe kodus . "
5	NA	 Käin tööl Rataskaevu tänaval . 
5	NA	 Võib-olla oled ehk tähele pannud , et seal ühe maja ees põleb kollane tuli . 
5	NA	 See on niisugune maja , kus minusugused härradega ja üldse igat sorti meesterahvastega kokku saavad . 
5	NA	 Siis ei pea alati tänaval hulkuma . 
5	NA	 Meil on perenaisega leping sõlmitud . 
5	NA	 Kui sa tahad , ma võin ka sind soovitada . 
5	NA	 Ma usun , et ta võtab sind hea meelega , sest sa oled noor ja ilus . 
5	NA	 Osa tulust saab perenaine endale . 
5	NA	 Aga kui rohkem tahad teenida , siis võid noormehi koju tuua . 
5	NA	 Mina ka toon . 
5	NA	 Veerenni tänaval on aga meiesuguste jaoks kontrollpunkt , seal peavad kõik käima , arst kontrollib , haiguste pärast . 
5	NA	" Narva maanteel on restoran "" Rooma "" . "
5	NA	 Ka seal töötavad tüdrukud numbrites . 
5	NA	 Seal käivad kõige rikkamad härrad , kes tüdrukutele hästi maksavad . 
5	NA	" See oleks sulle võib-olla kõige sobivam . "" "
5	NA	 Tüdruk vaikis . 
5	NA	 Nähtavasti oli ta nüüd kõik ära rääkinud , mis Tereesele oma edaspidise elu korraldamiseks vaja võis minna . 
5	NA	 Kuigi Tereese polnud meeste suhtes enam kogemusteta , tundus see kõik siiski võõras ja ebameeldiv . 
5	NA	 Kuid Tereese harjus . 
5	NA	 Harjus nii , nagu väga paljud temataolised maalt linna tööd otsima tulnud neiud . 
5	NA	" Ning Tereesest sai päris tavaline lõbutüdruk restoranis "" Rooma "" , kus ettekandjad numbritubades ka härrasid vastu võtsid . "
5	NA	 Peagi köitis jumekas pruunisilmne Tereese ühe rikka härra tähelepanu . 
5	NA	 See rikas härra muretses talle korteri ning Tereesest sai tema alaline armuke . 
5	NA	 Üldkokkuvõttes ei erinenud elu seal peaaegu mitte millegagi sellest , mis eelmisegi härra juures . 
5	NA	 Ka tema külastas Tereeset paar-kolm korda nädalas , maksis toa ja ülalpidamise eest ning andis ka raha hädavajalike ostude tegemiseks . 
5	NA	 Vahetevahel käis Tereese Müürivahe tänaval tolle heledapäise neiu juures , kes talle alguses ulualust andis , kui eelmine härra ta minema kihutas . 
5	NA	 Seal kohtus ta ka üsna sageli noormeestega ning sai pisut taskuraha , millest tal nüüd alatasa nappus oli . 
6	NA	 Kui järgmine laadapäev kätte jõudis , küsis Kaarel Ann-Leena käest puskarit , et sellega hobune purju joota ning siis laadal maha paristada . 
6	NA	" "" Mis puskarit ? "" tõmbas ämm silmad vidukile . "
6	NA	" "" Millal sa oma puskari minu kätte andsid ? "" – "" Sedasama puskarit , mida sa ajad ja külarahvale müüd , "" vastas väimees kannatamatult . "
6	NA	" "" Oled sa selle ajamist või müümist näinud ? "
6	NA	" Ja kui mul teda ka oleks , siis sinusugusele joomakaltsule ma seda küll ei annaks , ka kalli raha eest mitte . "" "
6	NA	" – "" Et sa , kurat , loll oled , sellest saan ma aru , aga et sa nii kangekaelne ka veel oled , sellest ma küll aru ei saa , "" arvas väimees südametäiega . "
6	NA	" "" Olen mis ma olen , aga puskarit sa minu käest küll ei näe . "
6	NA	 Ütle parem , kuhu sa mu saani panid ? 
6	NA	 Ma kirjutasin hobuse sinu nimele , saani mitte . 
6	NA	 Saan oli minu . 
6	NA	 Ja ma tahaksin näha , kellega sa kevadel põllule lähed . 
6	NA	" Kas sellesama kreksutiga , kes iga paari-kolme sammu järel sulle kust vastu vahtimist viskab või ? "" – "" Mis see sinu asi on , vana nõianuustik . "" "
6	NA	" – "" On küll minu asi . "
6	NA	 Koht on alles minu nimel ja seda ei anna ma käest , kuni mina elan , ära mitte loodagi . 
6	NA	" Aitab sellestki , et sa mu hobuse ja saani persse panid . "" "
6	NA	" – "" Too puskar välja , ära tänita ! "" – "" Mine oma mära saba alla ja hoia suu lahti , küll see sulle annab ühe hea sahmaka kõrisse , kui ta sul väga kuivab . "
6	NA	" Või mina andku sulle viina ka veel ! "" "
