par_nr	head	sentence
1	 Sealtmaalt 	 Sealtmaalt 
2	NA	 Karen Orlau 
3	NA	 Neid , kes surevad noorelt , armastab jumal . 
4	NA	 Etso surus otsaesise vastu vihmast märga kivi . 
4	NA	 Selle jahedus leevendas tuikamist meelekohtades , kuid ei summutanud hääli : 
5	NA	" "" Etso , tule ujuma ! "
5	NA	 Ma ei taha üksi minna ! 
5	NA	" Tahan koos sinuga ! "" "
6	NA	" "" Kuidas see ometi juhtus ? ! "
6	NA	 Nad olid ju kahekesi ! 
6	NA	" Annike ei läinud poisist sammugi eemale ... "" "
7	NA	 Kõige valjemini kõlas Annikese isa vaikimine . 
8	NA	 Annike oli Etso parim sõber . 
8	NA	 Ainuke sõber . 
8	NA	 Nad mängisid koos , ehitasid onne ja parvetasid mõnikord salaja Hülgesaarele . 
8	NA	 Külas nendevanuseid ei olnud , nad olid kahekesi ja kuulusid üksteisele . 
8	NA	 Peaaegu nagu vend ja õde , aga nende vahel oli midagi enamat . 
9	NA	 Etso oli tänulik , et Annikese isa ja ema nende salajastest mängudest ei teadnud . 
9	NA	 Need lõid erilise lähedusetunde , mida saladuse hoidmine süvendas . 
9	NA	 Annike oli tema oma ... üleni . 
10	NA	 Kalda talu vanas küünis oli neil heina sees pesa . 
10	NA	 Seal oli nii soe , et riideid ei läinud vajagi . 
11	NA	 Poiss mõtles heinalõhnalistele sosinatele , sellele , kuidas Annikese keha hõõgus . 
11	NA	 Kujutluspilt oli nii elav , et ta võis tüdruku naeru peaaegu kuulda . 
12	NA	 Annike ei näinud surnud välja , kui ta kaldale toodi . 
12	NA	 Isa võttis tüdruku sülle ja viis ta mööda karjamaad üles , koju . 
13	NA	 Etso tajus , et see äraviimine oli lõplik , sellisena ei kuulunud Annike enam talle . 
13	NA	 Üks päev maailmas , kus Annikest ei olnud , oli talumatu . 
13	NA	 Selliseid päevi oli ees hirmutavalt palju , üksteise järel ootamas , et oma hallis mõttetuses üle Etso veereda . 
14	NA	 Kivi kriimustas otsaesist . 
14	NA	 Valu viis mõtted mujale . 
14	NA	 Etso lõi peaga vastu kivi . 
14	NA	 Veel kord . 
14	NA	 Ja siis veel kord . 
14	NA	 Esimene verepiisk , mis otsaesiselt voolas , segunes esimeste pisaratega . 
14	NA	 Ema ütles , et mehed ei nuta , aga Etso ei nutnudki , vaid karjus nagu loom ja rand kajas hirmunult vastu . 
15	NA	 Peale raevukat vastuhakku tuli tuimus . 
15	NA	 Poiss kulges uimases äraolekus ja klammerdus pisiasjadesse : märkas üllatusega , mis maitse on vanal leival ja mõtles selle üle , istus veeämbrite ees ja silmitses kopsiku emaileeritud vart , unustas ennast terveks pärastlõunaks aknaklaasil jooksvaid vihmaniresid vaatama . 
15	NA	 Matusepäeva saabumist ta ei märganudki . 
16	NA	 Etso alistus äraolevalt , kui ema talle tärgeldatud valge särgi ja piduliku ülikonna selga pani . 
16	NA	 Kui ema poisi juukseid kammis , oli peeglist vastuvaatav nägu oma hajameelsuses peaaegu tõsine . 
17	NA	 Siis sai ta korraga aru , mida nad tegema lähevad . 
17	NA	 Tuimuse kaitsekiht kadus ja reaalsus muutus jälle peaaegu talumatuks . 
18	NA	 Esimesel omapead jäetud hetkel põgenes Etso metsa . 
18	NA	 Jooksis mööda põllutaguseid kaasikuid Kalda heinaküüni ja puges seal pessa . 
19	NA	" "" Annike ... "" "
19	NA	 Sosin oli harras palve . 
19	NA	" "" Annike , palun , ära sure ! "" "
19	NA	 Ta kordas seda algul läbi kurgus valutava nutu , pärast üha unisemalt , kuni magama jäi . 
20	NA	 Kui ta ärkas , oli juba öö . 
20	NA	 Annike oli maetud . 
20	NA	 Pesa aga oli soe ja täis tüdruku lõhna . 
20	NA	 Etso kargas püsti . 
20	NA	 Annikese lõhn oli nii elav ja hõõguv , see tähendas midagi ! 
20	NA	 Lõhn ei saanud ilma tüdruku eneseta nii elus olla ... 
21	NA	 Siis korraga tuli selgus : Okasroosike ! 
21	NA	 Annike ei olnud surnud , ta ainult magas ja ootas printsi , kes teda päästma tuleks . 
21	NA	 Etso pidi kiirustama . 
22	NA	 Tegutsemises oli tohutu kergendus . 
22	NA	 Lootuses veel suurem . 
23	NA	 Küüniuks kääksatas , kui Etso suveöösse sukeldus nagu säravate silmadega nirk . 
24	NA	 Rohutirtsud siristasid läbilõikavalt . 
24	NA	 Leesi surnuaia õhk oli angervaksade ja elupuude lõhnast raske , aga jahe ja sõbralik . 
24	NA	 Meretuul silitas Etso nägu . 
24	NA	 Ta oli ärevil ja kummaliselt rõõmus ning see rõõm peegeldus vastu isegi surnuaiamaastikult . 
24	NA	 Suveöölõhnad rääkisid temaga selgelt ja tungivalt . 
