par_nr	head	sentence
1	 Nips 	 Nips 
2	NA	 Toomas Raudam 
3	 Joonetõmbaja 	 Joonetõmbaja 
4	NA	 romaan kahes kohas ja neljas osas 
5	NA	 I osa : Tallinn 
6	NA	 esimene 
7	NA	 Teda enam pole – minu jaoks – , aga alati , kui mul õnnestub mingist ebameeldivast olukorrast omadega enam-vähem puhtalt välja tulla , meenub mulle Piret ja see , kuidas ta jooni tõmbas . 
7	NA	 Piret õpetas mind , jah , võib öelda , et andis mulle õppetunni , kuidas teha vahet hea ja halva , musta ja valge , taeva ja maa vahel . 
7	NA	 Ta ise seda ei osanud – nagu elu näitas . 
7	NA	 Ma olen oma elus seisnud valikute ees ning alati olen ma osanud õigel ajal otsustada ja suutnud ennast lahti öelda sellest piisast ( mitte just ilmtingimata viimasest ) , mis täitnuks karika . 
7	NA	 Sest järgmine – piisk , samm , mõte – olnuks juba hukutav . 
7	NA	 Kuid see sai võimalikuks vaid tänu sellele , et Piret tõmbas jooni ja mina olin see , kelle jaoks ta neid tõmbas – enda teadmata . 
8	NA	 Pireti joonetõmbamine polnud tavaline , kuigi esialgu võis tunduda , et ta tõmbab jooni nagu iga teine tüdruk . 
8	NA	 Meie klassis polnudki tüdrukuid , kes seda teinud poleks , ka kõige taibukamad pidasid vajalikuks jätta endast jälg sinna , kuhu võinuks nähtamatult maanduda nende mõte – mida polnud või mida oli vähe , sai grafiidiga turgutada . 
8	NA	 Kuid mitte keegi ei teinud seda sellise süvenemise ja eneseunustusega kui tema . 
8	NA	 Võib-olla sellepärast ei hiilanudki meie klassi tüdrukud mingite eriliste vaimuannetega . 
8	NA	 Alati , ka siis , kui olukord nõudnuks täielikku pühendumist , jäi neil iseenda jaoks aega üle . 
8	NA	 Mõttes polnud nad kunagi üksi . 
8	NA	 Õhtul voodis ( enamik neist jätkas tuupimist ka öösel ) libises pliiats vaid kergelt üle paberi , puudutus oli põgus nagu ... armastus . 
8	NA	 Kuid tõelist armastust ei tundnud keegi – meie , mina ja Piret võinuks neile õpetajaks olla . 
9	NA	 Esimest korda nägin ma Piretit jooni tõmbamas enne ühiskonnaõpetuse eksamit Pirital – see sõnaline lähedus , kiivale kõrvale vast isegi kokkulangevus , tundub tagantjärele tähenduslikum kui siis . 
9	NA	 Siis ma sellele ei mõelnud . 
9	NA	 Nüüd aga tundub mulle mitte ainult , et ilma Piritata poleks olnud Piretit , seda Piretit , keda ma just sel viisil tundma sain , vaid et ilma Piretita lakkaks olemast kõik see , mis harjumuspäraselt ning piltpostkaardilikult Piritaga seondub – kloostri varemed , sild , jahtklubi , muulid , mererand , kivirahnud ja varjuline metsaalune , kuhu ma oma ema viimsele jalutuskäigule viisin . 
10	NA	 Eksamid on vastuoluline nähtus . 
10	NA	 Ühest küljest peaks tegema kõik , et hoida nende sooritamise ajal keskmist joont . 
10	NA	 On ju ilmne , et igasugune kõrvalekaldumine või piiri ületamine ükspuha millises eluvaldkonnas saab resultaadile mõjuda ainult negatiivselt . 
10	NA	 Kõike tuleks teha mõõdukalt : korrapäraselt süüa , juua kohvi mitte rohkem kui tavaliselt , mitte ajada segamini und ja ärkvelolekut , ning – laast , mitte liist ! – hoida stabiilsena juba olemasolevaid suhteid , mitte alustada uusi . 
10	NA	 Ka pole mõtet tülitseda ega vaielda nendega , kes teie eest just siis hoolitsema kipuvad , kui seda kõige vähem vaja – ema-isaga , tädi-onuga . 
10	NA	 Viimase aja meditsiinilised uuringud on näidanud , et just sel eluperioodil omandatud harjumused on ohtlikud , neist kipuvad edaspidises elus saama ekstsessid : liigsest kohvitassist või turgutavast pitsist võib kujuneda eluaegne sõltuvus , mehaanilisest pugimisest buliimia , armastusest aga obsessioon . 
11	NA	 Ma ei saa öelda , et see , mida ma Pireti vastu ( Pirital ) tundma hakkasin , oli armastus . 
11	NA	 Selleks olin ma liiga palju lugenud ning lugemise kõrvalt näpsanud elult – ja elust – tükke , mis lugemisega omandatud teadmised reaalseks kogemuseks muutsid . 
11	NA	 Kuid ma polnud maitsnud Piretit . 
11	NA	 Ma polnud temast ka kuskilt lugenud , isegi mitte isa arstikäsiraamatutest – minu jaoks aabitsad , just neist veerisin ma kokku oma esimesed iseseisvad laused . 
11	NA	 Mida ma õnneks enam ei mäleta ; või millest eelistan vaikida . 
11	NA	 Isegi hiljem , nüüd , ligemale poole sajandi tagant , kus meditsiinilisele lektüürile on lisandunud nii ilukirjandust ( mis polegi nii informatsioonivaene , kui isa arvas ) kui astroloogiat ( üht-teist noppida ka siit ) , lühidalt öeldes kõike , mis kahe kaane vahel koos seisab ning kus on autori nimi ( rohkem küll formaalne tunnus ) – isegi nüüd ei saa ma öelda , et oleksin oma lugeja rännuteel kohanud kedagi , kes sarnanenuks ligilähedaseltki Piretile . 
11	NA	 Mõnikord on mind haaranud kummaline soov kirjutada käsil olev teos ümber – äkki jäi lugedes midagi kahe silma vahele ? 
11	NA	 Äkki ei märganud ma teda – Joonetõmbajat ? 
11	NA	 Kuid selle jaoks pole mul kunagi mahti olnud . 
11	NA	 Võimalik , et olen kartnud valu ; tohtritel muuseas on küllalt madal valulävi . 
11	NA	 Ka kalduvad nad olema ebausklikud . 
12	NA	 Enda kohta võin öelda järgmist : 
13	NA	 Pole ma tahtnud lennata linnuna . 
13	NA	 Pigem roomata ussina . 
13	NA	 Olen igatsenud olla urus , ammutada pimeduses – pimedusest ! – valguse kohta selliseid teadmisi , mis aitaksid mind elus , oleksid mulle toeks , sillaks kuristiku ja kärestiku kohal . 
13	NA	 Valgusest saab nagunii pimedus , selle üle pole mõtet muretseda – tähtis on osata orienteeruda hämaruses , kus on parasjagu nii üht kui teist . 
14	NA	 Imelik , kuidas ma varem polnud Piretit märganud ! 
14	NA	 See oli tõeline akrobaadiasend , mille ta ruudulisel päevitustekil sisse oli võtnud . 
