par_nr	head	sentence
1	 TÄISKUU JA TÄNAVALATERN 	 TÄISKUU JA TÄNAVALATERN 
2	NA	 Reet Kudu 
4	 I 	 I 
5	NA	 PAAVO RALM IMETLES TÄISKUU JA PARANDATUD TÄNAVALATERNA ÜHIST KIRGASTAVAT HELKI . 
5	NA	 Joovastus tegi haiget , ta polnud juba ammu harjunud suurt rõõmu taluma . 
5	NA	 Valgus muutus veidi ähmasemaks , mees tundis põsel midagi märga . 
5	NA	 Ta oleks tahtnud meeletult nuttu röökida nagu kunagi lapsepõlves , et pärast oleks kergem . 
5	NA	 Põhjamaiselt vaoshoitud eestlased nutsid aga harva , eriti mehed . 
5	NA	 Paavo Ralm polnud kunagi oma parimat sõpra näinud ahastamas ega pisaraid poetamas . 
5	NA	 Ühel päeval oli ta lihtsalt surnud . 
5	NA	 Enesetapp . 
5	NA	 Rahvuslik omapära avaldus eriti enesetappudes ja avalikus nutus või selle puudumises . 
5	NA	 Eestlaste enesehävituskirg oli laulmiskirega peaaegu võrdne . 
5	NA	 Protsent oli maailma kõrgemaid . 
5	NA	 Nagu vist muusikalises andekuseski . 
5	NA	 Olid need protsendid kuidagi seostatavad ? 
5	NA	 Igatahes ei lõhatud end süüdistavalt vihavaenlase õuel ega mõnes rahvarohkes kaubamajas . 
5	NA	 Põhjamaised enesehävitajad eelistasid nutta ja surra üksinduses . 
6	NA	 Paavo Ralmu parim sõber oli end kõrvalises parginurgas hilisõhtul üles poonud . 
6	NA	 Kodus ei saanud , sest seal oli armastav abikaasa . 
6	NA	 Kuulus pillimees ei jätnud maha hüvastijätukirja . 
6	NA	 Ta lahkus vaikides , nii eestlaslikult . 
6	NA	 Kedagi süüdistamata . 
6	NA	 Ja ometi süütunne jäi , sest tuntud muusikut olid paljud lausa jumaldanud . 
6	NA	 Oli see ainus võimalik rahvuslik protest ? 
6	NA	 Kõige vastu . 
6	NA	 Rikastunud sõprade vastu , kellest olid saanud reetjad tänu mõttetult läikivate asjade kokkukuhjamisele . 
6	NA	 Vaesunud sõprade vastu , kellest olid saanud hülgajad tänu eluraskuste rusuvale koormale , mida eestlastel on kombeks lähimategi eest varjata . 
6	NA	 Eesti Vabariigi vastu , kus silmakirjalikkus ületas tunduvalt nõukogudeaegsed mõõtmed , sest polnud enam ühist vaenlast nõukogude korra näol , mida kiruda . 
6	NA	 Paljud muutusid seepärast vaenlaseks iseendale . 
6	NA	 Kurta ei saanud , keegi ei kuulanud . 
6	NA	 Riigitegelased hõiskasid üha paksenedes Eesti Vabariigi edusammudest . 
6	NA	 Rahulolematud tembeldati saamatuteks , mannetuteks , lootusetuteks hädavaresteks . 
6	NA	 Põlata tohtis üksnes iseennast , mitte valetamist , varastamist , mõnitamist , teotamist ja avalikku tühiste asjade ning inimeste jumaldamist . 
6	NA	 Ja kui põlgus kasvas liiga suureks , talumatuks , painavaks , lausa hävitavaks , siis võis tasahilju poomisnööri muretseda ja otsustavalt parginurka sammuda . 
