par_nr	head	sentence
1	 MARGIT PUUSAAG JA TEMA MEHED 	 MARGIT PUUSAAG JA TEMA MEHED 
2	 26 . veebruar 1944 	 26 . veebruar 1944 
3	NA	 Keegi on kriidiga meie maja seinale kirjutanud : Margit , ma armastan sind ! 
3	NA	 Vahest Peeter ? 
3	NA	 Kahtlane — temaga läheb mul ( võrreldes teistega ) viimasel ajal räbalasti . 
3	NA	 Harry ? 
3	NA	 Mallika ütles mulle , et Harry on tiisikuses ja viidi sanatooriumi . 
3	NA	 Toivo ? 
3	NA	 Tema vaatas mind poisteka peol altkulmu , nagu oleksin ma talle midagi lubanud . 
3	NA	 Ma pole talle midagi lubanud . 
3	NA	 Artur ? 
3	NA	 Ei tea , meie vahel pole viimasel ajal nagu midagi erilist olnud . 
3	NA	 Endel ? 
3	NA	 Ei usu , tema ei julge minu maja juures ennast näidata , aga tema võib mind armastada küll . 
3	NA	 Elmar ? 
3	NA	 Kalju ? 
3	NA	 Seda ma tahaksin , et see oleks Kalju ... 
3	NA	 Kust mina pean teadma , kes selliseid lollusi kirjutab , ehkki armastus ise muidugi ei ole lollus . 
3	NA	 Aga mind paneb selline kirjutamine lihtsalt naerma . 
4	NA	 Mulle meeldib naerda . 
5	NA	 27 . veebruar 
6	NA	 Sassa-mamma lihtsalt kiusab . 
6	NA	 Küsis tiigrite kohta . 
6	NA	 Mul polnud aimugi , et tiigri kihvad on tegelikult tema silmahambad . 
6	NA	 Minule meeldib hoopis panter , see on tädi Hulda musta kassi moodi . 
7	NA	 Sassa-mamma peaks oma seelikut ülespoole tõstma , muidu on aluspesu talje kohalt näha , kui ta end välja sirutab , et kaardikepiga mõnel suurel pildil näiteks tiigri hambaid näidata . 
7	NA	 Ja seelikut oleks vaja uuesti plisseerida . 
8	NA	 Sain kahe . 
8	NA	 Pean selle veerandi lõpuks ära parandama . 
9	NA	 Isa näitas rihma , mis ripub elutoa ukse piida küljes . 
9	NA	 Ema küll ütles pärast , et Sassa-mamma tegi mulle liiga . 
10	NA	 28 . veebruar 
11	NA	 Peeter pigistas kõvasti mu kätt , kui me Schnelli tiigi uisuteel koos sõitsime , mul oli päris valus . 
12	NA	 Mul oli üle uisuvälja kõige pikem sall ning rindade pealt põdramustriga kampsun . 
12	NA	 Kaks põtra hüppavad üle kuuse teineteisele vastu . 
12	NA	 Vahel mõtlen , et mina olen neist üks . 
12	NA	 Mulle meeldiks põder olla . 
12	NA	 Kindlasti oleksin ma hea põder . 
13	NA	 Pärast jõime Peetriga puhvetis kuuma vaarikateed . 
13	NA	 Peetril on mustad silmad . 
14	NA	 Peeter ei tohtinud mind koduukseni saata , muidu oleks isa näinud . 
14	NA	 Poisid saadavad mind harilikult Feischneri kohvikuni , sealt tulen üksinda . 
15	NA	 Heldus ! 
15	NA	 Külmeta end kringliks , enne kui poiss musini jõuab . 
15	NA	 Eriti Peeter on selline mökutis . 
16	NA	 Mulle meeldib see tänav , kus ma elan . 
16	NA	 Tänava nimi on Harju , kummalgi pool kätt on vanad kivimajad . 
16	NA	 Kalju ütles , et need majad on umbes 500 aastat vanad , ja võib-olla rohkemgi . 
17	NA	 Kalju on niisugune targutaja , temaga igav ei hakka . 
18	NA	 Keegi oli ma armastan sind seinal maha tõmmanud ning peale kirjutanud on paks lits . 
18	NA	 Ma ei hakka oletamagi , kes see võiks olla , niisugune oletamine teeb tuju pahaks . 
19	NA	 Ja peale selle võib siis halvasti mõelda inimesest , kes pole seda millegagi ära teeninud . 
20	NA	 Kustutasin salliotsaga lits maha , ma ei taha , et teised seda näevad , mis sest , et see on vale . 
20	NA	 Kõik ju teavad , et mina olen Margit ja elan selles majas . 
20	NA	 Ma ei ole ju lits ! 
20	NA	 Ja mis paks ma olen ? 
21	NA	 Õnn , et isa müüs täna poole ööni meie kioskis sigarette . 
22	NA	 Aga ikkagi on tore , kui poisid sind vaatavad . 
23	NA	 Mõnikord mõtlen , et ma olen täiesti erinev inimene , kuigi nõnda pole vist ilus mõelda ja vahest mõtlevad nõnda kõik pliksid . 
24	NA	 Mina aga olen vasakukäeline , koolis pean kirjutama parema käega , ainult päevikut tohin täita nõnda , nagu mulle meeldib . 
25	NA	 Vahel on mul niisugune tunne , et parema käega ma valetan , vasakuga aga kirjutan tõtt , ehkki mõnikord ilustan oma tegemisi . 
26	NA	 Teiseks on mul liiga suured rinnad , kõige suuremad oma klassis . 
26	NA	 Suured rinnad ei meeldi mulle üleüldsegi , näiteks ronisin ma lapsepõlves poistega koos Toompea puude otsa , poisid said minust kõrgemale , sest neil ei ole rindu , mis oleksid neil tee peal ees olnud , okste vahele kinni jäänud . 
27	NA	 1 . märts 
28	NA	 Poistekas oli pidu , panin selga ema musta kleidi ja võtsin kaasa ema käekoti . 
28	NA	 Vasaku rinna peale panin klambriga suure liblika , see on brokaadist ja läigib hõbedaselt , kui valgus talle peale paistab . 
28	NA	 Ema andis veel oma merevaigust kaelakee . 
29	NA	" "" Et kõik poisid sinusse armuksid , "" naeris ema . "
30	NA	 Ema naerab nii hunnitult , nagu ütleb Krista . 
30	NA	 Mina käin peegli ees õppimas ema naeru . 
31	NA	 Poistekas tähendab poistekooli , see on Toompea taga , tuleb kas üle Harjumäe või Kaarli puiesteed pidi minna . 
32	NA	 Tee oli väga libe , miskipärast liivatatakse tänavaid sõja ajal alati lohakalt . 
33	NA	 Kõik poisid olid kiilaks aetud , kardetakse nakkushaiguste levikut . 
34	NA	" "" Kes vastu punnis , see viidi padavai Kloogale , "" ütles Elmar . "
35	NA	" "" Miks Kloogale ? "" küsisin mina . "
36	NA	" "" Seal on surmalaager , "" ütles Elmar ja lisas , et see oli nali . "
37	NA	 Esimese tantsu tegingi Elmariga . 
38	NA	 Nii imelik on tantsida poisiga , kellel üldse juukseid ei ole . 
39	NA	" "" Varsti aetakse ka plikade pead nulliks , sest ka teie võite batsille levitada , "" sorkas Elmar , kui me tangot tantsisime . "
40	NA	 Ma ei usu seda . 
41	NA	 Elmar oskab kõiki pöördeid , ka väga äkilisi , mitte nagu mõned , kes jalgu mööda põrandat lohistavad . 
42	NA	 Poisteka tantsusaali seintel on suured peeglid , neist on päris mõnus ennast jälgida . 
42	NA	 Peeglid on mõlemaö pool , nõnda sa aina kordud ja kordud ja kordud oma peegelpildis , kordud lõpmatuseni . 
43	NA	 Pärast jõime puhvetis limonaadi . 
43	NA	 Elmar lausus , et tango on keelatud tants , kuna tähistab mandumist . 
44	NA	" "" Tango on loobumise , kaotamise ülistuse tants . "
44	NA	" Sakslased aga ei taha kaotada , "" ütles Elmar . "
45	NA	 Mina küll ei taha millestki loobuda . 
46	NA	 Pärast tantsisin Toivoga . 
46	NA	 Toivo rääkis , miks poisid kogu aeg kaardipakist kaarte tõmbavad . 
46	NA	 Mina olen tehtud ruutuks , Krista on risti , Mallika ärtu ja Helle pada . 
47	NA	" "" Teie olete plikade kooli neli kõige suuremat iludust , "" ütles Toivo . "
48	NA	 Mina ruutu ! 
48	NA	 Seda ma küll ei kujuta ette , kuidas mina saan olla üks kaart . 
48	NA	 Minu poolest võivad Mallika ja Helle olla kestahes , aga mina ruutu ei ole . 
49	NA	" "" Kõik poisid tahavad tõmmata muudkui ruutu ässa , "" kohmas Toivo , tähendab , kõik poisid tahavad mind endale saada . "
50	NA	 Las tahavad ! 
51	NA	 Ka minu värv on punane . 
52	NA	" "" Näed , mul on punane lips . "
52	NA	" Kas sa saad aru ? "" küsis Toivo . "
53	NA	 Ei saa ! 
53	NA	 Millest ma pean õigupoolest aru saama ? 
54	NA	" "" Kas sa saad aru , et pooled poisteka poisid on sinusse kõrvuni armunud , "" prahvatas Toivo . "
55	NA	 Miks ainult pooled ? 
55	NA	 Aga mida siis ülejäänud teevad ? 
55	NA	 Ja miks ainult kõrvuni ? 
56	NA	" "" Eesti piir hakkab minema Ilmeni järve äärest , varsti tuleb Suur-Eesti , "" ütles Toomas , siis , kui me aeglast valssi tantsisime , mis on ka keelatud , sellepärast et on inglise tants . "
57	NA	 Issand , kui ogar ! 
57	NA	 Mida annaks see isiklikult mulle , kui Eesti piir hakkaks tõesti minema mingi juhmaka järve äärest ? 
58	NA	 Tantsisin kõik tantsud eri poistega , sellepärast et nad ei läheks omakeskis riidu . 
59	NA	 Ikkagi tuli mind saatma Elmar , küllap neil oli niiviisi omavahel kokku lepitud . 
59	NA	 Elmar käib juba üheteistkümnendas , kevadel hakkab lõpetama , tahab minna Tartu Ülikooli arstiks õppima . 
60	NA	" "" Ma tahan inimesi aidata . "
60	NA	" Ma hakkan kas pastoriks või arstiks , pigem ikka juba arstiks , "" ütles Elmar . "
61	NA	 Feischneri kohviku ees võttis Elmar taskust granaadi . 
62	NA	" "" See on veel lõhkemata , näed , sütik küljes . "
62	NA	 Kui sa musi ei anna , siis käib praegu kohe trahh-pahh ja meid ei ole enam olemas . 
62	NA	" Sureme koos , "" ähvardas Elmar . "
63	NA	 Niimoodi pole mult veel keegi musi nõudnud . 
64	NA	 Lubasin tal kergelt huultega ainult põske puudutada , sest üks armunud poiss võib suuri rumalusi teha . 
64	NA	 Aga tema hoidis oma huuli küllaltki kaua minu põsel . 
64	NA	 Päris põnev oli . 
65	NA	" "" Nüüd pead sa minuga abielluma , sest meie oleme musitanud , "" nõudis Elmar . "
65	NA	 Jeesus ! 
65	NA	 Nõnda peaks ma olema juba kolm korda abielus , Elmar on juba neljas . 
66	NA	 See pole üldsegi ükskõik , missugune poiss sind koju saadab , kellega sa tantsid või kes sulle musi annab . 
66	NA	 Mõned poisid langevad kohe välja , neile ei hakka ma pikemalt pilku heitmagi . 
66	NA	 Inimene peab kas või pisutki meeldima , alles siis tuleb kõne alla väike kuramaaž . 
66	NA	 Elmar on muidu tore poiss , aga tal on kahe ülemise esihamba vahe liiga suur ja see torkab kohe silma , kui ta suu lahti teeb . 
66	NA	 Ma tean , et ta pole ise selles süüdi , ma tean , et see pole minu poolest ilus , et mind niisugused asjad kangesti häirivad , aga nii see on ja mul pole sinna midagi parata . 
66	NA	 Järgmine kord Elmar mind koju ei saada , temal on kriips peal . 
66	NA	 Lisaks hambavahele nüüd veel granaati nina alla toppida — mis liig , see liig ! 
67	NA	 Harry on parem , mind tõmbab tema poole just tema tiisikus , ma tahaks teda aidata . 
67	NA	 Ma kujutan ette küll , et ma elan elu lõpuni mehega , kes kogu aeg köhib ja röhitseb , kellele mina pean vahetevahel vastu turja taguma , et tema oma köha saaks lõpuni köhida . 
68	NA	 Haigus teeb Harry ilusamaks , aga veel tähtsam kui poisi ilu , on mulle minu oma tunded . 
69	NA	 Neis tahan ma selgusele jõuda , alles siis saan ma musist kaugemale minna . 
70	NA	 See , mis ma Toivo vastu tunnen , pole kindlasti armastus , vähemalt mitte selline , millest romaanides räägitakse . 
70	NA	 Peetrit silmates läheb mul seest kuumaks küll , aga kuidagi leigelt ja liiga vähe . 
70	NA	 Kord sattusin Arturiga kohvikus istudes täielikku meeltesegadusse , aga seda juhtus ainult üks kord . 
70	NA	 Pärast seda jätab Artur mind sügavalt külmaks . 
70	NA	 Peetri vastu on mul mingi üldine meeldimus , aga ma tahan kunagi ühest poisist ka päris hulluks ja pööraseks minna . 
70	NA	 Kalju ja Hannoga teen lihtsalt kerget sehvti , sest mul pole nende vastu mitte kõige vähematki . 
71	NA	 Nõnda ei olegi ma veel kellelegi lubanud päris pikka armastussuudlust , mida teinekord kinos näidatakse . 
72	NA	" "" Tüdruk peab teadma oma väärtust "" , õpetab ema kogu aeg . "
73	NA	 Ema oli 18-aastane , kui esimest korda pikalt suudles , aga kentsakas on see , et ema ei olnudki enne niisama kergelt musitanud , vaid suudles kohe pikalt . 
74	NA	" "" Olin koledasti armunud , "" tunnistas ema ja see poiss , kellesse ema armunud oli , ei olnud isa , kuigi isa arvab , et tema oli esimene . "
75	NA	 Mulle ei luba isa isegi väikest musi enne meheleminekut , esimene tohib olla alles kihlasuudlus . 
76	NA	" "" Ükski korralik mees ei taha sind enam , kui sa oled teiste poolt ära rikutud , "" põhjendab isa . "
77	NA	 2 . märts 
78	NA	 Klassijuhataja Ülo Veskileib paneb vihikud õpetaja lauale riita alati nõnda , et viied on kõige peal , kahed kõige all . 
