par_nr	head	sentence
1	 1988 . aasta sündmus 	 1988 . aasta sündmus 
2	NA	 Imbi oli perifeeriast pärit ega teadnud , kus asub Tallinnas laulukaar , mille all pidid toimuma kuulsusrikkad öölaulupeod . 
3	NA	 Rahvas oli endalt heitnud uinutava ikke , vabadus kütkestas inimeste meeli , tõrvikute öises kumas lauldi pühasid laule . 
3	NA	 Tütarlapsed kandsid lühemaid seelikuid ja olid julgemad . 
4	NA	 Imbi ei kandnud lühemat seelikut , sest tema isik tekitas poiste seas niigi sebimist ja jahmerdamist . 
4	NA	 Peegli ees , kus provintsilinna kooliplikad end peale tunde sättisid , ilmus alati paar poissi , kes üksteist vaevumärgatavalt küünarnukkidega ribidesse tonksates püüdsid Imbile mantlit selga aidata või teda vähemalt puudutadagi . 
4	NA	 Niisugust imeõrna silmade tooni nagu Imbil ei olnud ühelgi teisel plikal : tema pilku kohates tundus , nagu oleks vaadatud otse taevasse . 
4	NA	 Kui hakata Tartust Peipsi poole astuma , võib veenduda , et nii helesiniseks värvivad vahel oma lihavõttemune kohalikud venelased , lisades akvarellile ohtralt vett . 
5	NA	 Peegli ees , kui Imbile oli mantel selga aidatud , järgnes omalaadne tseremoonia : neiu küsis kella . 
5	NA	 Ta võttis poisi randme ja vaatas . 
5	NA	 Sel oli tulemust : ta keeras nood , kes tal niikuinii andunult sabas käisid , viimse vindini üles . 
6	NA	 Kooli tantsupeol toimus midagi hoopis hullu . 
6	NA	 Mõned tüdrukud tõmbusid nurka , vaatasid õelalt Imbi poole ja sosistasid . 
6	NA	 Oli neid , kes Imbit iial ei teretanud . 
6	NA	 Imbi aga oli natuke hajameelne ja veidi lühinägelik , ei märganud või ei viitsinud märgata suguõdede intriige . 
6	NA	 Kui asi väga hulluks läks , puges ta mõne sõbranna selja taha . 
6	NA	 Mõned teadlased ütlevad , et naiste seltskonnas läheb asi alati hulluks , rivaliteet võib muutuda kohati lausa veriseks . 
6	NA	 Aga teised teadlased jälle seda ei kinnita ja arvavad , et asi jääb niiöelda nükete tasemele . 
7	NA	 Mõnede poistega oli tantsupeol asi siiski tõsine . 
7	NA	 Imbi herilasepiht , blond juustevoog ja seelikuvärvi järgi võõbatud ripsmed panid mõnel kogenematul maapoisil hambad nii plagisema , nii et ohver tõmbus heitunult kõrvale , pani mingi luuletuse paberile ja viis selle järgmisel hommikul koos tulipunaste roosidega meeltevallutaja ukse taha . 
8	NA	 Kui imelik see ka ei tunduks , liikus ta kõigest hoolimata tihtipeale üksi . 
8	NA	 Ta pidi võõras linnas tuttavatega kokku saama , sest ta ei teadnud , kus asub lauluväljak ja kus toimuvad öölaulupeod . 
8	NA	 See üksiolek polnud muud , kui hirmsa õppimise tagajärg : kes palju õpikutesse süveneb , peab lõpuks üksinda välja minema . 
9	NA	 Imbi sai Balti jaamas takso peale . 
9	NA	 Ta valis illegaali meenutava , mitte ametliku takso , et ka lihtsad kodanikud rohkem teeniksid . 
