par_nr	head	sentence
1	 Elajas trepi eelastmel 	 Elajas trepi eelastmel 
2	NA	 See tekst sisaldab arutlusi , mis võivad mõnele lugejale olla solvavad . 
3	NA	" "" Sa haiget küll teha ju tahad , kuid piht on sul hiiglama pisi . "
4	NA	 Luigekael , graatsia sul ? 
4	NA	" Küllap sa lömaks meid lööks . "" "
5	NA	 ( Kiri Pala-Karksi mõisa seinalt , sügavalt sisse kraabitud . ) 
6	 Tuli 	 Tuli 
7	NA	 Sa võid alati Euroopasse õppima minna , kui sul on selleks vajadust , ainult vaesus võib takistada . 
8	NA	 Ma ise olen pärit vanast aadlisuguvõsast , Pala-Karksis Transpaleni maakonnas Liivimaa põhjanurgas on meie kivine mõis . 
8	NA	 Mu isa armastas eraklikkust ja rajas nii häärberi ning pargi kui ka mõisa päris metsa sisse . 
8	NA	 Mäel on tuulik ja vesiveski , all voolab ilus oja . 
8	NA	 Ainult suits käib teinekord akendest ja ustest välja , kui kaminat köetakse . 
8	NA	 Sellest ilmub nõgi ukselävele . 
9	NA	 Neis paikades saatsin mööda oma lapsepõlve , mis oli ilus ja paljutõotav kui käo kukkumine . 
10	NA	 Olin oma isa teine poeg ega saanud seepärast pärida meie mõisamajapidamist . 
10	NA	 Me perekonnapärimus jutustab meist kui parunitest , kelle suguvõsa juured vanemad , kui keegi iganes võib arvata . 
11	NA	 Mõned minu eelkäijad kaks inimpõlve tagasi olid lasknud vana kuulsa suguvõsa lörri minna . 
11	NA	 Nad süüdistasid omakorda oma eelkäijaid : kord oli osa mõisamaast talupoegade mässu pärast vähenenud , kord olid süüdi teised mõisnikud . 
11	NA	 Üks meie kauge esivanem oli pidanud ränga rahaga kinni taguma oma poja prassinguvõlgu . 
11	NA	 Isegi mitte ülikooli omi , lihtsalt võlgu . 
11	NA	 Seda kuuldes otsustasin ülikoolitee jalge alla võtta , ehkki oleksin saanud oma mõisa mõnes teises Eestimaa nurgas , meie sugulaste juures , kellest paljud olid lasteta . 
12	NA	 Verinoorena olin kiindunud naabermõisniku tütresse , kellega koos leidis ükskord aset järgnev juhtum . 
13	NA	 Olin kahekümneaastane , kui tutvusin Sugalepa Julianenbergi noore parunessi Ingeborgaga , sündinud Henneken von Otten , kes vastas täpselt mu maitsele ja iluideaalile . 
13	NA	 Meil sujus jutt ja Ingeborga kinkis mulle esimese musi . 
13	NA	 Sel ajal saingi ma külge ülikooliplaanid . 
14	NA	 Iseäranis on mulle meelde jäänud unenäoliselt ilus suvekuu kaugest kodust , millest jutustan , kuna olen ju seotud vandega rääkida unenägudest ülepea . 
14	NA	 Unes tuleb kauge noorusaeg sageli nii ähvardavalt ja hämmastamapanevalt lähedale , et isegi imestad . 
15	NA	 Minu isa ja Ingeborga isa polnud mõisnikena sugugi heal järjel . 
15	NA	 Mõlemal olid väikesed häärberid ja talupoegade arvuga polnud neil samuti kiidelda . 
15	NA	 Kihelkonna suurematel vakusepidudel saadi siiski kokku , lõbutseti ja vahetati kogemusi . 
16	NA	 Lõbutsesid vaid vanad mõisnikud ise . 
16	NA	 Noorem rahvas kohtus harvem . 
16	NA	 Kümmekond aastat tagasi ei olnud Liivimaa aadel nii ühtehoidev ja heal järjel , et võinuks omale lubada ei tea mida . 
16	NA	 Ja põhjus oli ikka üks : ordu , kelle alale me kuulusime . 
16	NA	 See neetud ordu oli järjekindel ja Tarbatu piiskopile armukade püha isa soosingu pärast . 
16	NA	 Ja kui siis ordu piiskop Henricus Wrangelli vangistas , jäid Tarbatu toomkapiitel ja toomkooli majagi mõneks ajaks tühjaks . 
17	NA	 1409 suveharjal pidas ordu Kirumpääl väikest maapäeva . 
17	NA	 Kõrgmeister ajas nii kõrget poliitikat , et selline provintsimõisnik nagu minu isa võis selle peale kõigest nohiseda ja oma halle vuntse keerutada . 
17	NA	 Sest kõne all oli ei vähem ega rohkem kui orduvasallide seljatagune ühine hoop siitilma ühele vägevaimale ilmlikule valitsejale , Leedu vürst Vytautasele . 
17	NA	 Rüütlid ajasid Vytautasega kangekaelset poliitikat . 
17	NA	 Nüüd , kui mul on suurem elukogemus , mõtlen , et küllap olid Vytautasel ordu vastu samasugused või siis ehk veel hullemadki plaanid , olgugi et kehtis vaherahu . 
18	NA	 Meie kuulusime kindlale ordualale , kõrval asuva Tartu piiskopkonna piiskop oli aga vaid nominaalne . 
18	NA	 Ta oli ordu poolt paika pandud mees ja kandis nende valget rüüd . 
18	NA	 Ta oli igas mõttes ajutine . 
18	NA	 Tol ajal viibis ta Kirumpääl ühes teiste ordumeestega . 
18	NA	 Arutas asju . 
18	NA	 Minu isa ja Ingeborga isa sõitsid talle vasalliraha maksma . 
18	NA	" Sõitsid ja ise arutasid : "" Nood ordupapid ei kõlba millekski , see on kolmas ja viimane andam , mida me neile maksame , moskoviiti aga meie ei karda , moskoviit sõitku seenele . "" "
18	NA	 Mina nurusin ennast isaga kaasa , sest soovisin näha ordu kiviheitemasinaid ja panne , kus piiramiste ajal läidetakse liikuvat tuld . 
18	NA	 Ingeborga aga nurus ennast samuti kaasa , sest tahtis näha ilusaid sirgeid ordurüütleid . 
18	NA	 Viimane asjaolu läks mulle väga südamesse . 
19	NA	" Isad aga ütlesid : "" Lapsed jäävad Viljandisse munkade hoole alla , Kirumpääle teid kaasa ei võeta . "" "
19	NA	" Minu vanatoi lisas : "" Sind , Adolf , võtaksin küll ordulossi kaasa , saaksid näha õilsaid kombeid ja ehk mõõgavõitlustki . "
19	NA	 Aga kus sa nüüd ikka hakkad sinna noore daamiga minema , su Ingeborga saab veel halbu mõjusid . 
19	NA	" Jäägu ordu külalistemajja . "" "
20	NA	 Meid majutati Viljandis ühte kindlustallu , mind ühte ja Ingeborgat teise tiiba . 
20	NA	 Neiu silmad olid suured nagu põldvutimunad , ta kandis valget pitspõlle ja rohelist sõrmust . 
20	NA	 Ingeborgal olid meelad täidlased huuled ja tumekollased lokid . 
21	NA	 Meie vanal heal Liivimaal , mida nimetati ka Jäämamaaks ? kõik enesest lugu pidavad , kes sinna kord saabunud olid , sinna ka jäid ? , dikteerisid moodi need kauged ja kaunid naised , keda ma oma pikas jutustuses tutvustama hakkan . 
21	NA	 Ingeborga-sugused , muuseas , teevad alati nii , nagu mood dikteerib . 
21	NA	 Nad panevad oma niigi valgeile palgeile jahvatatud karikakraehmeid . 
22	NA	 Lähen siis edasi oma unenäo eelloo jutustamisega . 
23	NA	 See oli ilus suvi meil seal Viljandis . 
23	NA	 Õiekesi kiigutas mahe tuul , madalatipulistelt künkaharjadelt tõusis lõo rõõmulaul , ööbik hüüdis õitsva toominga ladvas . 
23	NA	 Kõik oli vist helesinine , vähemalt ei suutnud ma taevas märgata mingit muud värvi . 
23	NA	 Istusime Ingeborgaga vainul , meie ümber rõkkas aas , mesilased sumisesid , karvased ohakanutid kiikusid sinna ja tänna . 
24	NA	 Meie aga ei teinud muud , kui puhkasime teineteise rinnal ja ehk sattus mõni õrn musigi selle istumise sekka . 
24	NA	 Kogu suur ruum , mis jäi neiu valge siidise lehvi kohale , oli lõolaulu täis . 
24	NA	 Ja too lõo ütles vaid kaht silpi , milles leidusid pehmed helid . 
24	NA	" Nüüd mõistsin ma , millest tuli maarahva sõna "" laul "" . "
25	NA	" Suudlus lõppes ja mina ütlesin Ingeborgale : "" Kõikide lindude laul on väga lihtne ja jäljendab kuigivõrd inimeste keelt . "
