par_nr	head	sentence
1	 Kõik , mis loeb 	 Kõik , mis loeb 
2	NA	 Marek Simpson 
3	NA	 Sellistel päevadel jättis Kadri oma vanaduspõdura Fordi haigla parkimisplatsile ööbima ning sõitis koju liinibussiga . 
3	NA	 Mõtted olid lihtsalt liialt läbielatus kinni , et tänavaliikluse jõhkruses toime tulla . 
3	NA	 Liinibussi näotu inimmeri , kus oli kombeks teise haiget hinge mitte silmata ning vaikimise müüri lõhkusid vaid üksikud õelad või eluväsimusse uppunud pilgud , sobis talle aga hästi , sest lubas ta kurbuse ja valu tuima ükskõiksusega , küsimusi küsimata , enese rüppe . 
4	NA	 Sügisese surmakuu koolnuhalli majad , autod , puud ja pimedusse uppuvad inimkujud ruttasid kiirust kogudes ja siis taas hoogu maha võttes nukrate varjudena porise akna tagant mööda . 
4	NA	 Saaks ka selle päevaga samamoodi , mõtles Kadri , laseks sel minna , selja taha kulgeda , saaks selle olematuks unustada ... 
5	NA	 Veelkord , veelkord , elas ta mõtetes toimunut läbi , lahkas selle hetkedeks ja üksikuteks otsusteks , teiste ja enda omadeks , kuigi teadis juba , et kõik sai tehtud õigesti , et tehti kõik võimalik ja enamgi veel , et anda ruumi loodetud imele , mida taas ei sündinud . 
5	NA	 Jah , imesid sünnib haruharva — inimese võimuses pole neid esile kutsuda , kuigi tihti väga-väga tahaks , väga vajaks seda ootamatut järeleandmist elu tavareeglitest . 
5	NA	 Ehk just selle pideva ja lootusrikka ootuse pärast tundis Kadri end alati petetuna , kui kõik harilikku rada pidi kulges ja lõppes . 
5	NA	 Või ootas ta lihtsalt enamat . 
5	NA	 Ehk pidas enamat loomulikuks . 
6	NA	 Keegi polnud süüdi . 
6	NA	 Midagi polnud jäetud tegemata . 
6	NA	 Nad olid lihtsalt kaotanud . 
6	NA	 Kaotanud võitluse ja kaotanud elu . 
6	NA	 Ühe väga noore inimese elu . 
7	NA	 Lapsed ei peaks niimoodi surema , kordas kordumatutest kordustest väsinud hääl temas jonnakalt , veelgi enam , lapsed ei peaks üldse surema . 
7	NA	 Nad peaksid kasvama ja õppima , peaksid nutma valust ja naerma rõõmust , peaksid elama , ning saama osaks tulevikust , isegi siis , kui see neid avasüli ei oota . 
7	NA	 Lapsed peaksid oma vanemaid mattes elult eneselt meie teekonna lõplikkusest kibeda meeldetuletuse saama ning nende endi lastest peaksid saama käed , millega nad kauges tulevikus igaviku külge klammerduvad , kui mõistavad , et see on ainus surematuse viis , mille poole püüelda tasub . 
8	NA	 Täiskasvanute puhul on kõik teisiti . 
8	NA	 Nende surm on osa elust , osa meie maailmast — traagiline , valus , ent siiski mõistetav osa , millega aastate kogunedes arvestama harjutakse , minekumõttega lepitakse . 
8	NA	 Surm pole nii hirmus , kui lähedaste lahkumised on muutnud sidemed teise ilmaga tugevamaks , kui siin pole enam neid , keda me armastasime , kellele toetusime ja keda vajasime , kellest hoolisime ja kes , vähemalt tahaks nii tihti loota , seal meid juba ammu ootavad . 
9	NA	 Lapse surma ei ole aga võimalik mõista , lapse surma mõttega ei saa mitte kunagi leppida . 
