par_nr	head	sentence
1	 Tahtamaa 	 Tahtamaa 
2	 1 . 	 1 . 
3	NA	 Ma ärkasin sel aprillilõpu hommikul , nagu võiks öelda — suurde avastusse . 
4	NA	 Võib-olla soodustas seda sügav lonks vermutit , mille õhtul olin hinge alla võtnud ja millest , nagu asjatundjad väidavad , pea on järgmisel hommikul erakordselt klaar . 
4	NA	 Ma vaatasin ärkliaknast sinivalgevöödilisse taevasse ja ütlesin : 
5	NA	 Üksindust ei ole lihtsalt olemas . 
5	NA	 Üksindus pole midagi muud kui igavlevate ja igavate jõmmide katse end huvitavaks targutada . 
5	NA	 Muuseas , üksindust ei saagi olemas olla . 
5	NA	 Sest ta on ju ainult nii kaua olemas , kuni üksiolija ei tea , et ta üksi on . 
5	NA	 Niipea kui ta oma üksiolu avastab , on ta oma üksindusega kahekesi . 
5	NA	 See istub tal üle-laua ja vahib talle silma . 
5	NA	 Ja laseb endale silma vahtida . 
5	NA	 See esitab küsimusi . 
5	NA	 Arutleb . 
5	NA	 Muigab . 
5	NA	 Ilgub vastu . 
5	NA	 Ja kui see ehk ka suurelt osalt vaikib , on kahekõne põhimõtteliselt vältimatu . 
5	NA	 Nii et ärgu tuldagu mulle seletama üksindusest kui eksistentsiaalsest kategooriast . 
6	NA	 Ma liigutasin teki all varbaid , pöörasin jalad voodist põrandale , torkasin nad tuhvlitesse ja tõin vannitoast habemeajamismasina . 
6	NA	 Neljateistkümne celsiuskraadiga toas ( tänu masuudinappusele , mida meile tekitavad armastusväärse Vene kütusefirmad , kes jagavad mõnede Vene valitsustegelaste seisukohta , et tuleb meie iseseisvusindu veel natukene jahutada ja me tuleme nende rüppe tagasi vups-vups ... ) , nii jahedas toas oli mul võimatu kasutada habemeajamismasina suhtes muidu võib-olla sobivatki , aga külmas toas vastikult klirikrigisevat sõna pardel . 
7	NA	 Ma asetasin sõõrja õõnespeegli serviti kirjutusmasina tähehüpuaeda , et see mu näo ees püsti seisaks , ja lülitasin masina käima . 
7	NA	" Tänu mõnele hoolikale daamile , kes aeg-ajalt minu läheduses õiendavad , eriti ühele neist , teadagi , on mu igapäevane habemeajamismasin ikkagi korralik "" Braun "" . "
7	NA	 Sest hoolitseja on võtnud omaks hoolitsetava enese põhimõtte ( ja muuseas võtnud selle omaks niisuguse järjekindlusega , et hoolitsetavale aeg-ajalt tundub : sellest võiks ju teha ka mõne mitmekesistava erandi ) — tähendab , põhimõtte , et asju olgu inimesel võimalikult vähe , aga need , mis tal on , olgu võimalikult head . 
7	NA	" Muuseas , ega ma ei tea , kas "" Brauni "" habemeajamismasinad laiemal taustal üldse mingid ekstraklassi omad ongi . "
7	NA	 Aga vähemalt meie maailmaosas olid nad veerandsajandi jooksul ainsad läänemaised nimetsi teadaolevad ja imejuhul ning kange tahtmise korral kättegisaadavad kvaliteetpardlid . 
7	NA	 Ma mäletan paari kirjanikust tuttava omaaegset juttu : tosina aasta eest oli neid kirjanike üleliidulise kongressi ajal Kremli keldripoes kuuekümne tollase rubla eest tollastele pissatelitele müüdud . 
7	NA	 Selle minu praeguse oli mu kaitseingel ostnud kolme nädala eest Westmani poest ja maksnud selle eest kuussada krooni . 
7	NA	 Täpipealt üks kümne vastu , nagu enne rahareformi oligi räägitud , et saab olema . 
7	NA	 Ainult et räägitud oli vist küll numbrite poolest vastupidi . 
8	NA	 Tähendab , lülitasin masina surisema ja vaatasin endale peeglis näkku . 
8	NA	 Õõnespeegli ebameeldivalt suurde , lõua poolt punaka üheöömuruga vasklevasse näkku ja prillidetagustesse , aga ikkagi tüütult ainitistesse ja kahtlustavatesse hallidesse silmadesse . 
8	NA	 Üldse nagu kuidagi ülearusesse näkku . 
8	NA	 Ja surusin masina kiiresti ragisevasse muruniidutöhe . 
8	NA	 Aga peatasin ta silmapilk . 
8	NA	 Sest mulle tundus , et just sel ajal , kui sõitsin kõrisõlmest alahuule poole esimest vagu , oli masinaraginasse helisenud uksekell . 
9	NA	 Kuivõrd masin töötas , aga niidutöö oli lakanud , olin kindel , et kellahelin , kui see peaks korduma , kostab mulle läbi surina ära . 
9	NA	 Ootasin . 
9	NA	 Tüdinesin . 
9	NA	 Vihastasin ja tahtsin jatkata — kui helin kordus . 
10	NA	 No näete , mõtlesin , ühed eksponeerivad oma üksindust , teistel ei lasta lõugagi üksinda puhtaks ajada . 
10	NA	 Ja mis kuradi tegelased need on , kes ei õpi ära , et olgu meie telefoniseerituse tase nii idaeuroopalikult madal kui tahes — mõnedel inimestel meil ju ikkagi on telefon majas . 
10	NA	 Ja neile sünnib enne nende ukse taha ilmumist helistada ja tulekus kokku leppida . 
10	NA	 Kui on tingimata tarvis tulla . 
11	NA	 Haarasin võtme , et laskuda viiendalt rahvatervishoidlikel põhjustel liftita korruselt alla ust avama , tõmbasin korteriukse valla — ja seal mu külaline juba seisis . 
11	NA	 Majja pääsnud ja üles kõndinud , nagu neil sageli õnnestub . 
12	NA	 See oli umbes neljakümnene punakasblond , minu pikkune , aga pisut varatüse mees . 
12	NA	 Täiesti võõras . 
12	NA	 Aga silmanähtavalt sõbralik , sest ilmsesti mingite soovidega isik . 
12	NA	 Säherduses mõne aasta eest meilgi välja ilmunud kitsavõitu mustas revääridega tegelinskimantlis , nagu see tänaseks on iga endast lugupidava ärimehe- või diplomaadihakatuse seljas juba vaata et tavaline . 
12	NA	 Aga siiski veel mitte nii tavaline , et jätta koguni küsimata : kas kodumaalane või võõras — ? 
13	NA	" "" No näete kui tore , et ma teid niimoodi teie uru uksel kätte saan ! "" "
14	NA	 Ta ütles seda kahtlemata teatud joviaalsusega , mis meile muidu nii hõlpsasti närvidele käib , aga mis tuli tal kuidagi nii vahetu välja , et see ei sundinudki mind silmapilk reserveeruma . 
14	NA	 Ma vastasin naeratades , aga siiski ka tõrjuvusega , mida ma endale omaenese meelest sellistel puhkudel juba lubada võin : 
15	NA	" "" Hahahah — tore ? "
15	NA	 Kuidas kellele . 
15	NA	 Aga ütelge mulle , kellega on mul au ? 
15	NA	 Ja mis ma võiksin teie heaks teha ? 
15	NA	" Ja kui on ette näha , et meie jutt kestab üle kahe minuti — võtke palun mantel maha ja astuge sisse . "" "
16	NA	" Ta ütles naeratades : "" Jaa — üle kahe minuti — siiski . "
16	NA	 Aga ma loodan , mitte üle kahekümne . 
16	NA	" Nii et kõigepealt — kalossid . "" "
17	NA	 Märkasin alles siis , kui ta hakkas neid maha tirima , et tal olid imeõhukesed kondoomitaolised ja kohati kergelt porised kalossid kingadel . 
17	NA	 Ta seletas : 
18	NA	" "" See on ju praegusel ajal kuidagi kergelt vanaaegne jalats , eks ole ? "
18	NA	" Aga mul oli siin maastikus liikumist ette näha — "" Ta riputas mantli varna ja jatkas sealjuures : "" Ja kust ma tulen — ? "
18	NA	 Jaa . 
18	NA	" Õieti ütelda : mitmelt poolt . "" "
19	NA	" Mina ütlesin : "" Palun , astume siis sisse . "
19	NA	 Kuigi — te näete — ma olen hommikumantli väel . 
19	NA	" Aga nähtavasti ei loeta kella poolt üheksat visiidi jaoks enam skandaalselt varaseks ajaks — "" "
20	NA	 Ta eiras mu märkust täiesti ning astus mu viipel mu väikesesse kahte suunda avaneva nurgaaknaga töötuppa . 
20	NA	 Toa aknavaade — neljale südalinna kirikule ja kolmele müüritornile ühekorraga — oli üks selle tülika asendiga korteri äratasuvusi . 
20	NA	 Ja too mu ootamatu võõras reageeris sellele vaatele omamoodi ka . 
20	NA	 Ta seisatas hetke keset tuba ja pööras pead ühe ja teise aknavaate suunas ning ütles kaalukalt : 
21	NA	" "" Mmmm — "" "
22	NA	 Siis võttis ta mu külalisetoolis istet ja ütles , sel ajal kui mina istusin teisele poole lauda : 
23	NA	" "" Te ei tunne mind muidugi ära — ? "" "
24	NA	" Mina ütlesin : "" Aga , vabandage , kuidas ma saaksin ? "
24	NA	" Kui ma näen teid esimest korda ? "" "
25	NA	" "" Noh , see ei olegi ehk nii kindel . "" "
26	NA	" "" Kuidas nii ? "" "
27	NA	" "" No lihtsalt . "
27	NA	" Te olete ju käinud ka mõned korrad meie pool . "" "
28	NA	" "" Näiteks kus ? "" "
29	NA	" "" Noh , näiteks Göteborgi raamatulaadal , kui ma ei eksi ? "" "
30	NA	" Mina küsisin teatud üllatusega : "" Kas te olete raamatukaupmees ? "" "
31	NA	" "" Oi ei , "" naeris mu külaline , "" aga neil laatadel käib ju igasugust muudki rahvast . "
31	NA	" Teie ju ka — "" "
32	NA	" "" Te tahate öelda , et me oleme kohtunud — ? "" "
33	NA	" "" Kuulge — ega ma ei tea . "
33	NA	 Aga — teissugustes tingimustes , muutuvas seltskonnas , mitme aasta eest — jumal teab , eks ole . 
33	NA	" Aga et sirgelt meie probleemi juurde välja jõuda "" — ta kergitas istmiku oma toolilt mõne sentimeetri kõrgemale — "" minu nimi on Lingo Luuk . "
33	NA	 Ja-jaa . 
33	NA	 L , u , u , k. 
33	NA	 Lingo võib-olla sellepärast , et ema oli unistanud Stokholmi lingiaadidest . 
33	NA	 Te teate ju , mis need olid . 
33	NA	 Aga luuk — see on seesama asi , mis tuleb lahti teha , et valgus aknast majja pääseks . 
33	NA	 Just-just . 
33	NA	 Ja seesama , mille kaudu laevast välja pääseb , kui laev hakkab põhja minema . 
33	NA	 Ha-ha-ha-haa . 
33	NA	 Aga et me asja juures püsiksime , asi ise , mille tõttu ma otsustasin teid tülitada , noh , te aimate ju isegi ära , mis see praegusel ajal on ? 
33	NA	 Muidugi mõista . 
33	NA	 Äri . 
33	NA	 Õige pi-i-i-sikene . 
33	NA	 Aga ikkagi äri . 
33	NA	" Ütelge , kas Tahtamaa nimi ütleb teile midagi ? "" "
34	NA	 Ma vastasin vist alles silmapilgu pärast . 
34	NA	" "" Noh , ütleme , et ütleb — "" Aga mõtlesin : üllatav . "
34	NA	 Kust see mees seda nime teab ? 
34	NA	 Sest see pole ju muud kui talu nimi . 
34	NA	 Talu , mida pole enam viiskümmend aastat olemas . 
34	NA	 Saaremaal . 
34	NA	 Minu vanavanaisa ja siis vanaisa talu . 
34	NA	 Millest minagi ainult juhuse kombel midagi mäletan . 
34	NA	 Sest olin kunagi , kuue- või seitsmeaastasena ( tähendab , enam kui poole sajandi eest ! ) korra või teise seal käinud . 
34	NA	 Isa ja emaga koos . 
34	NA	 Ja nüüd , paar kuud tagasi , olin leidnud oma vanade paberite seast kollakaks tõmbunud plokilehe , kuhu olin kunagi , vist pärast Saksa okupatsiooni , kritseldanud mõned andmed : 
35	NA	 Tahtamaa , Lüütjala vallas , samanimelisest alevist kümme kilomeetrit edelas . 
35	NA	 19 hektarit . 
35	NA	 Sellest 10 Saaremaa mandril , 9 Tahtasaarel . 
35	NA	 Viimane käib madala mere aegu mandriga peaaegu ühte . 
35	NA	 Kõrge mere aegu eraldab saart talu ülejäänud maast kuni kilomeetri laiune väin . 
35	NA	 Talu ostetud Paukla Schoultzide käest vanaisa poolt päriseks aastal 1902. 
35	NA	 Hind 1500 rubla . 
35	NA	 Hooned põletati 1941 , venelaste minnes ja sakslaste tulles maha , ma ei tea , kumma poolt . 
36	NA	 Mul on meeles , kunagi koolipoisist peast , tähendab ammu , Tallinnas , juba sügaval venelaste ajal , pärast vanaisa surma , püüdsin ma seda talu suurel Saaremaa kaardil paigale panna . 
36	NA	" Koguteose "" Saaremaa "" juurde kuuluval kaardil , mis meil imekombel peale kõiki kolimisi ikka olemas oli . "
37	NA	 See oli asetsenud , tähendab vanaisa Tahtamaa talu , Saaremaa kagurannal . 
37	NA	 Mina olen , nagu juba öeldud , ainult oma varases lapseeas seal korra või teise käinud . 
37	NA	 Ma mäletan , rannajoont Kübassaare tuletornist Ulpe saarteni oli kaardi järgi linnulennult circa kaheksakümmend kilomeetrit . 
