par_nr	head	sentence
1	 Morituri te salutant 	 Morituri te salutant 
2	NA	 Tiit Tarlap 
3	 1 . Lootus 	 1 . Lootus 
4	NA	 *Märkus 1* 
5	NA	 LAMONTI samm oli nõtke ja kuulmatu . 
5	NA	 Ta liikus aeglaselt nagu hiiliv kiskja ; pilk heledatest silmadest ei vaadanud ühessegi konkreetsesse punkti , vaid püüdis võrdse kontrolli all hoida kogu vaatevälja — jändrikke puid , tihedaid põõsatutte ja korrapäratuid künkamügaraid . 
5	NA	 Ta polnud veel päriselt harjunud sellega , mida kutsus endamisi oma uueks , kuuendaks meeleks ja mis ei kujutanud tegelikult midagi muud kui ta noorde , võimsasse kehasse istutatud veteranivaistu . 
5	NA	 Teadvusesiirdest oli möödas vaid mõni nädal . 
6	NA	 Ta kohanes kiiresti ega üllatunud enam oma välkkiirete reaktsioonide üle , mida ajuti näisid juhtivat hoopis kellegi teise lugematuis võitlusis treenitud kogemused . 
6	NA	 Nii see ju oligi , ehkki need instinktid sulasid üha enam kokku tema enda noore võimega neid kasutada , muutusid ta teadvuse koostisosadeks . 
6	NA	 Praegu ütlesid nad talle , et hädaoht varitses otse siinsamas . 
7	NA	 Õieti polnud selle mõistmiseks ta uusi võimeid vist vajagi , jätkunuks puhtalt endagi omadest , mis tal olid ka kuu aja eest . 
7	NA	 Retke alg- ja lõpppunkt olid täpselt paika pandud ja viimane neist juba lähedal . 
7	NA	 Kuna rünnak ei saanud toimumata jääda , polnud selle teostajatel enam palju valikuvõimalusi . 
7	NA	 Nagu tal endalgi marsruudi valikul . 
7	NA	 Siin oli teda märksa lihtsam oodata , kui arvata ära ta liikumisi distantsi keskel . 
7	NA	 Aga see vähendas tunduvalt üllatusmomenti . 
8	NA	 Nii elementaarset tõika oleks Lamont sama täpselt taibanud ka kuu aega tagasi . 
8	NA	 Tuli aga suuresti kahelda , tundnuks ta siis vaistlikult , kus konkreetselt varitsus ootas . 
8	NA	 Praegu tajus ta seda kogu olemusega , peaaegu haistis , nagu oleks vastased enne peitupugemist kreosoodis püherdanud . 
8	NA	 Ja vaid see eelnev äratundmine võimaldas tal näha põõsaoksa , mis ei kiikunud just päriselt tuule suunas ning ebaloomulikku kühmu , mis teisal lisandus madalast õhtupäikesest tekitatud puutüvevarjule . 
8	NA	 Ta oli juba nende vahel ja loomulikult polnud neid ainult kaks . 
9	NA	 Lamont otsustas kiiremini , kui jõudis end selleks teadlikult käskida . 
9	NA	 Mõõk endiselt tupes , sööstis ta äkitselt vasakule , tühjendades samaaegselt arbaleti põõsa suunas . 
9	NA	 Vali plaks kinnitas , et nool tabas märki . 
9	NA	 Maha viskudes lennutas Lamont laskeriista tagantkätt sinnapoole , kus puu varjust välja hüpanud varitseja ta suunas võrgu heitis . 
9	NA	 Arbalett ja võrk kohtusid õhus ja see takistas tublisti viimase lahtirullumist , mis päästis kiiresti kõrvale veerleva Lamonti võrgu alla jäämast . 
9	NA	 Hetk hiljem oli ta juba jalul ning ründas mõõgaga varitsejat , kes püüdis kiiruga vöölt taprit vallandada . 
9	NA	 See teda ei päästnud . 
9	NA	 Raevukas hoop rohelisse näokattesse paiskas mehe tombuna pikali ja põõsaist kerkinud ülejäänud kolme ründajat tervitas Lamont juba näoga nende poole . 
9	NA	 Nood tungisid kallale üheaegselt ja üritasid teda sisse piirata , kuid keegi nende seast ei suutnud Lamonti otserünnaku ees kindlaks jääda ja edasine oli Lamontile juba puhas mõnu . 
10	NA	" "" Küllalt , võllaroad ! "" peatas neid paari minuti pärast vali hääl , "" Kas te õhtule minna enam ei kavatsegi ? "" "
