par_nr	head	sentence
1	" Operatsioon "" Ogaline Päike "" "	" Operatsioon "" Ogaline Päike "" "
2	NA	 Siim Veskimees 
3	NA	" "" Kas sa tõesti näed siin midagi ? "" vaatas Öäk imestunult ringi . "
4	NA	" "" Sinu silmad . "
4	NA	" Tegelikult muidugi ei näe , see on puhas kujutis , ainult natuke korrigeeritud võremeetrite käänupunktide järgi . "" "
5	NA	 Öäk vaatas uuesti pead vangutades ringi , siis laskus istme seljatoele . 
5	NA	" "" Mugav , kiire . "
5	NA	 See on juba reisimine ! 
5	NA	" Ja kõige kummalisem on mõelda , et terve mu laev , mida sa teenitud lugupidamatusega sädekühvliks nimetasid , on kusagil all laoruumis . "" "
6	NA	" "" Viimase sädelennu teeme sellega . "" "
7	NA	" "" Eh Zätereit , pead sa seda mulle meelde tuletama ... "" "
8	NA	" "" Tõe eest pole pääsu , nii et kas on mõtet end kiusata ajutise unustusega ? "
8	NA	 Aga ma targutan . 
8	NA	 Meil on aega — räägi palun veel midagi Nozilast . 
8	NA	" Rahulikult ja mis pähe tuleb . "" "
9	NA	" "" Pähe tuleb ... "
9	NA	" Siis peaksin ma alustama oma vanaemast . "" "
9	NA	 Ta vaatas vilksamisi kõrvale . 
10	NA	 Teise mehe nägu oli ükskõikne ja liikumatu , kui ta looritatud pilguga tühjusesse vaatas . 
11	NA	" "" Alusta siis vanaemast , "" lausus ta vaikselt , kõlgutades purki mingi joogiga üle tooli käsipuu rippuvas käes , raske kogu lõdvalt puhkamas , teravad varjud madalate hallide juuste ja habemega raamitud näos . "
12	NA	 Vaikus tihenes . 
12	NA	 Zätereit ootas . 
12	NA	 Ta teadis , et kulub enne aega , kui tähise tühjuse asemele tekib lapsepõlve taevas . 
12	NA	 Lõpuks hakkas Öäk rääkima : 
13	NA	" "" Õieti pean ma jutustama ühe vana legendi . "
13	NA	 Sa ei ole seda arvatavasti kuulnud , sest päriselt olen ma alles nüüd sinuga suheldes aru saanud , kui suur on Universum . 
13	NA	 Elades ühel planeedil , ei hooma me tegelikult kunagi isegi Galaktika suurust . 
13	NA	 Ma olen käinud Buna Tleel aga see polnud ka see . 
13	NA	 Lihtsalt üks järjekordne linn , palju kordi suurem kui ükski Nozilal , aga elutul , hingamiskõlbmatu atmosfääriga planeedil . 
13	NA	 Ma tean ka küll , et Rhinodont on Nozilast kaheksakümmend valgusaastat , ent selle sisu ... 
13	NA	 Isegi mulle , piloodile ! 
13	NA	 Ja Tuukan on tuhande ringis ... 
14	NA	 Ma kasvasin ühes neist küladest , mis laiutavad ümber Nozila ekvaatori . 
14	NA	" "" Laiutavad "" , on õige sõna , sest ruumi on meil tohutult . "
14	NA	 Kogu planeedi kohta alla kümne miljoni inimese . 
14	NA	 Päevad on tulised , ööd krõbedad . 
14	NA	 Ja nii kogu aeg , suviti natuke kuumem , talviti natuke külmem . 
14	NA	 Vaid päikese tõusul ja loojangul on lühike aeg , mil temperatuur on inimesele vastuvõetav . 
14	NA	 Me kõik teadsime varajasest noorusest , et kaugele minna ja ära eksida ei tohi — kui jäid päevaks kõrbesse , olid surnud , jäid ööseks , olid ka surnud . 
15	NA	 Vanaema hoidis meid , sellal kui vanemad olid ära , enamasti tööl , põldudel . 
15	NA	 Päris lõpuks läks ta vist natuke segaseks , ent temas oli midagi ... 
15	NA	 Midagi varasematest aegadest , midagi suurematest aegadest . 
15	NA	 Ehk jättis mulle selle mulje viis , kuidas ta neid oma lugusid vestis , selles oli selget igatsust . 
15	NA	 Seda lugu , kuidas inimesed Nozilasse jõudsid , rääkis ta korduvalt . 
15	NA	 See meeldis meile . 
15	NA	 Ette rutates — muidugi ei vasta see tõele . 
15	NA	 Keegi meie eellastest peab olema planeedil käinud ja suured generaatorid rajanud juba vähemalt kümmekond miljonit aastat tagasi . 
15	NA	 Ajaloolased aga väidavad , et püsiva asustuse jälgi ei ole miljonite aastate kaupa kuni viimase sajatuhandeni . 
15	NA	 Meie praegused teadmised minevikust lõppevad umbes kirjeldatud sündmuste ajal , nii et see on ainuke tegelikkusega sobiv punkt ... 
16	NA	 Nii et siis suur peremaja — neid hüütaks meil tarudeks — kus võis muide seeski ära eksida — oli ju pinda hektarites ... lõpuks käis ju pea kogu elu katuse all . 
16	NA	 Maja keskel on tavaliselt suur , minu lapsepõlvekodu puhul peaaegu selle kosmoselaeva suurune hall . 
16	NA	 Suured klaasseinad , suletud , välja arvatud lühikesed hetked hommikul ja õhtul . 
16	NA	 Enamikule seintest ja akendest võib ju lasta kujutise või need läbipaistvaks muuta , nii et päris kindel ei võinud kunagi olla , mida sa parasjagu nägid ... 
16	NA	 Meil olid omad toad , ent enamasti vedasime pimeõhtutel oma madratsid kokku vähe kõrgemasse soppi halli nurgas , kust nägime kogu kõrbe ja lahtistest talveaia ustest tuli võõrplaneetsete taimede eksootilisi lõhnu . 
16	NA	 Multimeedia on kinni pandud , meid teki alla topitud . 
16	NA	 Tuled on hämaraks keeratud , vanaema on oma toa seina kõrvale lükanud ja istub seal kiiktoolis lambivalgel . 
16	NA	 Tavaliselt oli tal mingi näputöö käes , kui ta vaikselt pajatas , meil silma peal hoidis ja lõpetas alles siis , kui kuulajate hulk oli nulli jõudnud , see tähendab , et me kõik magasime . 
17	NA	 Tollal ma ei teadnud , mis on õieti Urth . 
17	NA	 Muide ka autentseks peetavad allikad räägivad üksteisele vastu , nii et vanaema versioon ei ole halvem kui teised . 
17	NA	 Jutt hakkab tavaliselt sellest , et Seitsmeteistkümne Nõukogu sooritas riigipöörde ja kihutas eoone võimul olnud valitsejad minema . 
17	NA	 Loomulikult oli rojalistidel palju toetajaid alluvatel planeetidel , erinevad armeedki toetasid kord üht , kord teist poolt , isegi väeosad läksid teinekord lõhki ja hävitasid end sisetülis . 
17	NA	 Nii oli õnne ja uue ajastu asemel tulemuseks kaos , suur lepitamatu kodusõda laastas Vana Kuningriiki , lahingulaevad ja muudki alused kuni võitluseks pea kõlbmatute kaubapaatideni pidasid sädetaguses võitlusi , nii et üksikud sähvatused ja vrakid isegi tavaruumi lendasid , jäädes ainsaks märgiks mitte kunagi tagasi pöörduvatest alustest . 
17	NA	 Saatuse irooniana läks piir läbi Urthi enda süsteemi — Urth 4 ( sest tegelikult ei tehta pea kunagi vahet tähe ja selle pealinnplaneedi vahel ) langes esimesena ja Ize , Urthi tähe viieteistkümnes planeet , viimasena . 
17	NA	 Rojaliste jäi aina vähemaks ja lõpuks polnudki järgi pea kedagi , püsis ainult vana ihukaitseülem , kes oli olude sunnil ka Ize kindluse komandant . 
17	NA	 Aga lootust ei olnud . 
17	NA	 Harvemaks jäid ka rünnakud uue valitsuse vastu , juba hakkas hajuma võitjate hirm , et veel kusagil ilmub välja hiigelarmee rojaliste . 
17	NA	 Selline oli olukord , kui Ize kindlus koondas oma tule ja raius kaardiväe laevadele tee välja . 
17	NA	 Neid ei suudetud peatada , kuid hakati jälitama , ja neid jäi aina vähemaks ja vähemaks , kuni ka mitmelt poolt tagaajamisega ühinenud suured lahingulaevad hakkasid neile järele jõudma . 
17	NA	 Ihukaitseülema laev pöördus , mõned rüütlid koos temaga . 
18	NA	" "" Mine , printsess , "" ütles vana mees , kes teadis , et rohkem ta teha ei suuda . "
19	NA	" "" Kuhu ? "" küsis printsess , perekonna viimane võsu . "
19	NA	 Ekraanidel oli ta sünge ja kahvatu , näis palju vanem , kui tegelikult oli ; päris laps oli ta . 
19	NA	 Ka tema teadis , et kõik on läbi . 
20	NA	" "" Kuhu , vana sõber ? "" "
20	NA	 Selline kõnetus oli suurim austusavaldus , mida valitsev monarh võis oma sõdurile osutada , ja kui irooniline see ka tunduks , seda ta sel hetkel oli . 
20	NA	" "" Murrame koos läbi ! "" "
21	NA	 Vanamees vangutas pead . 
22	NA	" "" Mina olen juba surnud . "
22	NA	 Mine kuhugi kaugele . 
22	NA	 Su laev on üks kiiremaid . 
22	NA	 Ühel päeval kohtute kõik , kes te siit pääsete . 
22	NA	 Otsi endale planeet , kuhu ei ole astunud inimese jalg ja jää sinna . 
22	NA	 Varsti on uutel valitsejatel muudki teha , kui sind otsida . 
22	NA	 Siis kogute te jõudu ja kuningriik sünnib uuesti ; seni peab ta elama teie südametes . 
22	NA	 Mine ära . 
22	NA	" Siin on vaid surm ja sa ei tohi surra , sest siis kaob tõesti ka viimane lootus . "" "
23	NA	 Salakoodid olid ammu antud , kõigele oli mõeldud . 
23	NA	 Vist ei mõistnud paljud neist kunagi , et ajalugu on uue lehekülje pööranud , et nende aeg on alatiseks läbi . 
23	NA	 Veel viimast korda helises vana komandöri hääles iidse aadlisoo uhkus , kui ta oma laeva lähenevatele vaenlastele vastu pööras . 
23	NA	 Muistset lahingulaulu lauldes kihutas ta ühele suurematest laevadest vastu . 
23	NA	 Ta laev põles heledas tules , kui vaenlase löögid teda tabasid , ent temagi laev oli parem kui enamikul ründajatest , nii et ta jõudis sihile — rammis suurt ristlejat . 
23	NA	 Tema kaaslastel nii hästi ei läinud , paljud neist olid samuti teisi rammida üritanud , kuid enamasti hävitati enne kokkupõrget . 
23	NA	 Võideldi alla andmata , kibeda vihaga , võitlust , mis oleks teinud neile au , kui keegi oleks seda üles täheldanud . 
23	NA	 Vähe oli neid ja ülestõusnute mass lämmatas nad . 
23	NA	 Kui võitjad jälle mahti said ringi vaadata , oli printsess kaugusesse kadunud . 
24	NA	 Sellal oli Seitsmeteistkümne Nõukogu end juba palees sisse seadnud ja tegi oma igapäevast tööd . 
24	NA	 Tõsi küll , seda oleks mujal hulga paremini saanud teha . 
25	NA	" "" Nüüd algab uus ajastu , "" kuulutasid nad kõigile , hääles viha . "
25	NA	" "" Vabadus , võrdsus , suur vaimne tõus , õitseng . "
25	NA	" Ja siin saab olema meie keskus . "" "
26	NA	" Ja kui Esimees seda ühes kõnes ka Nõukogule kordas , kuulis ta jälle Vana poolt vaikset pilkavat küsimust : "" Ausalt ? "" "
27	NA	 Vana oli ainuke , kes seda endale lubada võis . 
28	NA	" "" Aga muidugi , "" jätkas Esimees pisut ebakindlalt . "
28	NA	" "" Sa vaata seda ehitist — milline tõusvate joonte ilu . "
28	NA	" See on valitsusele väärikas koht . "" "
29	NA	" "" Aga mina arvan , et me ei tunne end kunagi koduselt siin , kesk miljoniaastaseid traditsioone ja luksust . "
29	NA	" Muide , me võitsime jälle . "" "
30	NA	" "" Ja miks sa sellest nii süngel toonil räägid ? "
30	NA	" Kas põgenev kaardivägi on purustatud ? "" "
31	NA	" "" Jah . "
31	NA	 Ent kui meil tavalistelt läks 2,7 laeva ühe vaenlase kohta , siis selles tagaajamises on läinud 6,2 . 
31	NA	" Ja printsess pääses põgenema . "" "
32	NA	" "" Me peame ta hävitama ! "" "
32	NA	 Ja ülejäänud nõukogu liikmed noogutasid nõusolekuks . 
33	NA	 Sõjaminister läks marssali juurde ja käskis printsess iga hinna eest kinni püüda . 
33	NA	 See kutsus oma staabiülema ja käskis sel vastav operatsioon ette valmistada ja käima panna . 
33	NA	 Staabiülem , väheke mõelnud , kutsus esimese erioperatsioonide lüli koloneli ja määras selle tagaajamise üldjuhiks . 
33	NA	 Kolonel kutsus välja oma kõige teenekama kapteni ja käskis tal põgenik tagasi tuua või hävitada . 
33	NA	 Kapten mõtles natuke , et kes võiks sellega hakkama saada ja palju tal üldse oli võimalik selleks ressursse eraldada , ilma et muud ülesanded ohtu satuksid . 
33	NA	 Ta vabastas ühe oma vanematest leitnantidest jooksvatest ülesannetest . 
33	NA	 Paraku oli leitnant laiskvorst , kes lihtsalt kutsus välja oma seersandi ja andes talle põgeniku ligikaudse suuna , käskis asjaga tegelda . 
33	NA	 Tollest seersandist rühmakomandörini jõudes oli info juba niipalju lahjenenud , et Nõukogu imperatiivsest käsust oli saanud tüütu rutiin . 
33	NA	 Rühmakomandör kutsus välja kaks teenekat võitlejat ja lahingulendurit , kes mingi bürokraatliku segaduse tõttu ümberformeerimistel olid tema juurde sattunud , ja keda ta ei sallinud , kuna nad olid head ja kuulsad sõdurid . 
33	NA	 Nähes head võimalust neist lahti saada , viskas ta meestele kausta pihku ja kupatas nad oma toast välja , mida kõnealused ka rõõmuga sündida lasid . 
33	NA	 Olles enne pika retke tarvis kohalikus laos rüüstamise korraldanud , olidki nad varsti oma tundmatu sihi poole teel . 
33	NA	 Hiljem on püütud väita , et see oli nii mõeldudki ja et tegelikult oli lahendus geniaalne . 
33	NA	 Paraku on see puhas mõttetus . 
34	NA	 Ja printsessi laeva kaduvat jälge otsides arutasid nad korduvalt oma võimalusi . 
35	NA	" "" Käsk otse valitsusest , "" urises üks . "
35	NA	" "" Huvitav , miks see meieni jõudis ? "" "
36	NA	" "" Võib-olla ei taheta teda üldse kätte saada ? "
36	NA	" Saata kaks meest erilise varustuseta ... "" täiendas teine . "
37	NA	" "" Ja mis siis meist saab ? "
37	NA	" Süüdi oleme igal juhul . "" "
38	NA	" "" Nii et parem keerame kuhugi Servale ? "
38	NA	" Pidime end üldse selle kambaga siduma ! "" "
39	NA	" "" Nüüd on hilja . "
39	NA	" Kui me tee pealt midagi huvitavat ei leia , pole meil eriti kuhugi minna . "" "
40	NA	" "" Täita ülesanne ? "
40	NA	" Aga printsessi laev ? "" "
41	NA	" "" "" Helesinine viirastus "" . "
41	NA	" Tavaliste lahingulennukitega teda ei võta . "" "
42	NA	" "" Ainult kui õnnestuks rünnata teda pea vastaskülgedelt , siis arvatavasti üks meist jõuaks sihile . "" "
43	NA	" "" Ei ole kutsuv lahendus . "" "
44	NA	" "" Seda minagi . "" "
45	NA	" "" Ajada ta valgusbarjäärile lõksu ? "
45	NA	" Kui hea piloot ta on ? "" "
46	NA	" "" Piisavalt . "
46	NA	" Lisaks on ta aadlik , mis tähendab , et tark ja kaval . "" "
47	NA	" "" Ja peamiselt on ta väga veetlev neiu . "
47	NA	" Kuidagi ei tahaks teda tappa . "" "
48	NA	 Pärast pikka jälitamist jõudsid nad Nozila kohal printsessile järele . 
48	NA	 Nad olid ettevaatlikud ja pidasid mitu päeva kaugdistantsilt võitlust . 
49	NA	 Sellest kohast libises mu vanaema kiiresti üle , sest kosmosevõitluste termineid ta ei tundnud ja arvatavasti ei saanud ta jutustusest lihtsalt aru , nii et ta jätkas sealt , et kõik kolm laeva said viga ja kukkusid erinevates kohtades planeedile alla . 
49	NA	 Ise üritasin teismeliseeas tagantjärele rekonstrueerida , mis algses jutustuses juhtuda võis , ning sarnaste lahingute kirjeldusi sünteesides arvan , et peeti silmas võimalust , kus nad , üritades üksteist valgusbarjääri lähedale lõksu püüda , sattusid ruumipöörisesse ja tardumise vältimiseks pidid tegema avariiväljumise , mis enamasti põletab küll sädeefektorid maha . 
50	NA	 Igatahes ei jäänud neil muud üle , kui maanduda ja üritada abi kutsuda . 
