par_nr	head	sentence
1	 Viljaküla Brita pajatused 	 Viljaküla Brita pajatused 
2	NA	 Kristel Salu 
3	 1 . 	 1 . 
4	NA	 Tere , kõik see pere — kõik teie , kellele mina , alternatiivlaps Viljaküla Brita , osutusin hingesugulaseks ja kes seetõttu leidsid minu memuaaridele koha oma raamaturiiulis või kummutisahtlis või öökapil või kogunisti padja all ! 
4	NA	 Loodetavasti eelistab teie õnn endiselt kodust eluviisi ega kipu küla peale ringi töllerdama . 
4	NA	 Kui te aga nüüd küsite , kuidas minu alternatiivsusega praeguseks lood on , siis teadke , et see üha süveneb , mitte ei lähe üle , nagu viieteistkümnendaks eluaastaks meie praegusel ajal nii mõnegagi kahjuks on juhtunud . 
4	NA	 Mina nimelt ikka veel ei joo , ei suitseta , ei tarvita narkootikume ega laaberda ringi , vaid loen raamatuid , armastan loodust ja loomi ning minu südamehääl saab alati esimesena sõnaõiguse . 
4	NA	 Kui leidub neid , kellele säärase vanaaegse tüdruku memuaarid taas kord lugemisrõõmu pakuvad , siis on selliste inimeste õnnel küll kange iseloom . 
4	NA	 Aga just nimelt teile , mu kallid sõbrad ja hingesugulased , sündiski minu memuaaride teine osa , mille ma seekord nimetan pajatusteks . 
4	NA	 Ja mine tea , võib-olla kuulete minust veel ka siis , kui olen kaheksakümmend — oma raamatukestega suurteostele taustaks olles kurikuulsaks saanud ning seeläbi eluga ütlemata rahul seniilne mutike , kes on kogu elu kütnud oma südameahju , et õnnel oleks tema juures mõnus ja soe . 
4	NA	 Ja tema sõpradel samuti . 
5	 2 . 	 2 . 
6	NA	 Chris valmistub merekooli astuma . 
6	NA	 Ja-jah , see ilma vaatamise vajadus on tal ikka nii tublisti veres . 
6	NA	 Nii ta studeeribki viimasel ajal kõikvõimalikke meresõiduteemalisi raamatuid , uurib geograafiat ja laeva ehitust ja navigatsiooni ja mida kõike veel . 
6	NA	 Tal pole isegi pruuti , nii hõivatud on ta oma ettevalmistuskursusest . 
6	NA	 Ma tegin ükskord sellel pruudi-teemal juttu . 
6	NA	 Ja tema vastas : 
7	NA	" "" Ega selle pruudi otsimisega nii kiire ka pole . "
7	NA	" Kõigepealt pean ma kapteniks saama . "" "
8	NA	" "" Ja siis ? "" "
9	NA	" "" Siis ? "" "
9	NA	 Chris sügas mõtlikult lõuga . 
9	NA	" "" Noh , siis viib meretee mind ükskord mõnele Lõunamere saarele , kus ma pärast pikki eksirännakuid kohtan lõpuks tõmmut indiaanitüdrukut , kelle nimi on Tantsiv Tuul või Kõrbelill või Naerev Suslik ja kelle isa on suguharupealik Sinine Sebra või Matsutav Madu või Möirgab Koos Karudega , ning siis palun ma tolle indiaanitüdruku enesele naiseks . "
9	NA	 Ja kuna ma olen ikkagi kapten , siis ei saa too paps mulle oma tütre kätt mitte üks teps keelata . 
9	NA	" Säärane imeline õnnehetk tasub ju ootamist , eks ? "" "
10	NA	 Vaat sellised kõrgelennulised plaanid on Chrisil . 
10	NA	 Ma loodan , et ta tõepoolest saab ükskord kapteniks ja leiab oma Kõrbelille . 
10	NA	 Eks tulevik näitab . 
11	NA	 Tädi Klara aga ikka koob ja küpsetab ja ravib kõiksugu haigusi , mis külarahvast vaevavad . 
11	NA	 Ta on teinud oma maasikamoosi juurest kõva arengu edasi ning vaaritab nüüd kõikvõimalikke tervistavaid drooge , näiteks võilillesiirupit ja astelpajumehu ja nisuidumahla . 
11	NA	 Siis teeb ta veel naadisuppi ja nõgese pannkooke ning muid selliseid umbrohusööke , mis viivad lausa keele alla . 
11	NA	 Igatahes , kui ma nüüd linnas käies astusin ükskord sisse ühte kiirtoidu söögikohta , siis neist friikartulitest ja hamburgeritest ei tahtnud mul suutäitki alla minna . 
11	NA	 Sel hetkel seisin ma silmitsi tõsiasjaga , et minu sotsiaalne hakkab vist seiskuma ... 
11	NA	 Nii mõnedki linnainimesed on nimelt avaldanud arvamust , et pikast metsas istumisest võib mu sotsiaalne kasv kinni jääda . 
11	NA	 Noh , et metsistun ära ja tekib nagu arengupeetus või midagi seesugust . 
11	NA	 Aga siis tuli mulle pähe mõte , et Samueli sotsiaalne kasv on ju totaalselt pidurdunud , kuid tema õnn on rohkem kui kodus . 
11	NA	 Järelikult võib sotsiaalse kasvu seisma jäämine pikemas perspektiivis hoopis kasuks tulla . 
12	NA	 Emal-isal on ikka kiire , vahest veel enamgi kui mõni aasta tagasi , ja ka nemad ostavad suurtest selveritest valmistoitu . 
12	NA	 Nende suurte selveritega on üldse omaette lugu , ses mõttes , et sellised hirmsuured poed ajavad minul pea ringi käima . 
12	NA	 Poe käibe suurendamiseks on see muidugi hea , sest uimase peaga sisseoste tehes ei anna inimene enesele enam aru , mida võtta , mida jätta , ning loobib paremalt ja vasakult kärusse kõike , mis aga kätte satub . 
12	NA	 Nojah , sellest ajast , mil poelettidel haigutas tühjus , ei mäleta mina suurt midagi , ja seetõttu on minu eelnenud märkused võib-olla kohatud . 
12	NA	 Aga tädi Klaral , kes ka ükskord minuga koos linnas käis — ja ta on seda aega , kus midagi saada polnud , küll näinud — , läks ühes sellises ostuhulluse templis silme eest päris mustaks ja ta oleks peaaegu rabanduse saanud . 
13	NA	" "" Sa issaristike ! "" jutustas tädi Klara mulle pärast oma poeskäigu lugu . "
13	NA	" "" Olivad sääl mingisugused "" Hullude päevad "" . "
13	NA	 Jagati poolmuidu lokirulle ja hambaharju ja marineeritud tomateid plekkpurgis . 
13	NA	 Inimesed rebisid üksteisel peaaegu riideid katki , et aga jaole saada , justkui oleks sääl Rooma paavst olnd õnnistust jagamas . 
13	NA	 Võtsin siis ka , kui lõpuks ligi pääsesin , sest kui ikke nii odavalt antasse , siis tuleb ju võtta , isegi kui tarvis ei lähe . 
13	NA	 Aga oleks ma toda tiand , et mulle hullumärk külge pandasse , ma poleks midagist ost . 
13	NA	 Kõik mu kraam topiti ilma minu käest küsimata suurde kilekotti , kus pääl kirjas , et ma seal hullude kokkutulekul käind hull olen . 
13	NA	 Pärast vaatasin , et suurem jagu rahvast käis sedaviisi äramärgistatuna ringi . 
13	NA	 Siis hakkas mul väheke kergem , et olen teiste omasuguste seas . 
13	NA	 Aga see hambahari , too oli sihukeste raudharjastega , et paras elevandile . 
13	NA	" Ja tomatid , neid ei taht isegi alati nälgas küla kassid . "" "
14	NA	 Vaat selline lugu juhtus tädi Klaraga . 
14	NA	 Hea seegi , et vähemasti lokirulle sai ta kaks korda kasutada , enne kui need katki läksid . 
15	NA	 Samuel on ikka kunstnik . 
15	NA	 See tähendab , et tal on pintslid , paberid ja värvid ning ta teeb nendega pilte , mida kunstinautlejad seintele riputavad . 
15	NA	 Seletan seda veel kord kõigile arusaadavate sõnadega üle seepärast , et kõik ta kunstnikuks olemisest aru saaksid . 
15	NA	 Kui ma teda kümneaastasena kirjeldasin , siis tegin seda nii lapsele omasel lihtsal viisil , et üks tänapäeva üleharitud täiskasvanu ei saanud asjale pihta . 
16	NA	" "" Samuel , oled sa ikka kunstnik ? "" küsisin nüüd , viis aastat hiljem igaks juhuks üle . "
17	NA	" "" Oma teada nigu küll . "
17	NA	" Mis siis ? "" "
18	NA	" "" Noh , leidus üks inimene , kes minu eelmise kirjelduse läbi sinus kunstnikku ei näinud . "" "
19	NA	" "" Heh , võib-olla ta ei tahtnudki näha , "" kihistas Samuel naerda . "
19	NA	 Ta pööras ennast näoga minu poole , lõi oma joonistusploki lahti ja hakkas pliiatsiga sinna midagi visandama . 
20	NA	" "" Aga võib-olla on ta kusagilt välja nuhkinud , et mul puudub kunstnikuks olemist tõendav dokument , "" lisas ta siis . "
21	NA	" "" Kas see teeb sinust siis vähem kunstniku ? "" "
22	NA	" "" Selliseid leidub küll , kes nii arvavad , "" nentis Samuel . "
