word_texts,lemmas,postags,forms
Lugupeetav,lugupeetav,A,sg n
Riigikogu,riigikogu,S,sg g
esimees,esimees,S,sg n
",",",",Z,
austatavad,austatav,A,pl n
Riigikogu,riigikogu,S,sg g
liikmed,liige,S,pl n
",",",",Z,
peaminister,peaminister,S,sg n
ja,ja,J,
valitsuse,valitsus,S,sg g
liikmed,liige,S,pl n
",",",",Z,
Riigikohtu,riigikohus,S,sg g
esimees,esimees,S,sg n
",",",",Z,
õiguskantsler,õiguskantsler,S,sg n
",",",",Z,
riigikontrolör,riigikontrolör,S,sg n
.,.,Z,
Riigikogu,riigikogu,S,sg g
XII,XII,O,?
koosseis,koosseis,S,sg n
on,olema,V,b|vad
ületanud,ületama|ületanud,A|V,|nud|pl n|sg n
ekvaatori,ekvaator,S,sg g
.,.,Z,
(,(,Z,
Ma,mina,P,sg n
ei,ei,V,neg
pea,pidama,V,o
silmas,silm,S,sg in
ümber,ümber,D,
maakera,maakera,S,sg g
reisimist,reisimine,S,sg p
),),Z,
Enam,enam,D,
kui,kui,D|J,
pool,pool,N,sg n
2011.,2011.,O,?
aastal,aasta,S,sg ad
valitud,valima|valitud,A|V,|pl n|sg n|tud
Riigikogu,riigikogu,S,sg g
tööajast,tööaeg,S,sg el
on,olema,V,b|vad
möödas,möödas,D,
.,.,Z,
Aeg,aeg,S,sg n
",",",",Z,
millesse,mis,P,pl ill|sg ill
langevad,langema,V,vad
XII,XII,O,?
Riigikogu,riigikogu,S,sg g
volitused,volitus,S,pl n
",",",",Z,
on,olema,V,b|vad
olnud,olema|olnud,A|V,|nud|pl n|sg n
murranguline,murranguline,A,sg n
.,.,Z,
Kogu,kogu,A,
maailma,maailm,S,sg g
jaoks,jaoks,K,
:,:,Z,
Occupy,Occupy,H,sg n
Wall,Wall,H,sg n
Street,Street,H,sg n
ja,ja,J,
Snowden,Snowden,H,sg n
",",",",Z,
majanduslik,majanduslik,A,sg n
murdumine,murdumine,S,sg n
mõnedes,mõni,P,pl in
Euroopa,Euroopa,H,sg g
Liidu,Liidu|Liidud|Liit,H,sg g
liikmesriikides,liikmesriik,S,pl in
",",",",Z,
Araabia,Araabia,H,sg g
kevad,kevad,S,sg n
ja,ja,J,
ettenägematu,ettenägematu,A,sg g
lõpuga,lõpp,S,sg kom
võitlused,võitlus,S,pl n
Egiptuses,Egiptus,H,sg in
",",",",Z,
Süürias,Süüria,H,sg in
",",",",Z,
mujal,mujal,D,
.,.,Z,
Midagi,miski,P,sg p
põhimõttelist,põhimõtteline,A,sg p
on,olema,V,b|vad
kõikjal,kõikjal,D,
muutunud,muutuma|muutunud,A|V,|nud|pl n|sg n
.,.,Z,
Paremaks,parem,C,sg tr
",",",",Z,
halvemaks,halvem,C,sg tr
või,või,J,
lihtsalt,lihtsalt,D,
teistsuguseks,teistsugune,P,sg tr
.,.,Z,
See,see,P,sg n
aeg,aeg,S,sg n
on,olema,V,b|vad
olnud,olema|olnud,A|V,|nud|pl n|sg n
murranguline,murranguline,A,sg n
ka,ka,D,
Eesti,Eesti,H,sg g
jaoks,jaoks,K,
.,.,Z,
Eesti,Eesti,H,sg n
on,olema,V,b|vad
masust,masu,S,sg el
välja,välja,D,
tulnud,tulema|tulnud,A|V,|nud|pl n|sg n
.,.,Z,
Majandusareng,majandusareng,S,sg n
on,olema,V,b|vad
ületanud,ületama|ületanud,A|V,|nud|pl n|sg n
piiri,piir,S,sg p
",",",",Z,
millest,mis,P,pl el|sg el
inimeste,inimene,S,pl g
väärtused,väärtus,S,pl n
ja,ja,J,
elueesmärgid,elueesmärk,S,pl n
suunduvad,suunduma,V,vad
pelgalt,pelgalt,D,
ellujäämiselt,ellujäämine,S,sg abl
eneseteostuse,eneseteostus,S,sg g
poole,poole,K,
;,;,Z,
seega,seega,D,
muutuvad,muutuma,V,vad
inimesed,inimene,S,pl n
aga,aga,J,
ka,ka,D,
olevaga,olev,S,sg kom
rahulolematumaks,rahulolematumaks,S,sg n
.,.,Z,
Lugege,lugema,V,ge
Eesti,Eesti,H,sg g
Inimarengu,inimareng,S,sg g
aruannet,aruanne,S,sg p
2012/2013,2012/2013,N,?
",",",",Z,
vaadelge,vaatlema,V,ge
väärtuste,väärtus,S,pl g
ja,ja,J,
hoiakute,hoiak,S,pl g
muutumist,muutumine,S,sg p
.,.,Z,
Nägime,nägema,V,sime
Eestis,Eesti,H,sg in
streike,streik,S,pl p
ja,ja,J,
meeleavaldusi,meeleavaldus,S,pl p
.,.,Z,
Näeme,nägema,V,me
ja,ja,J,
tajume,tajuma,V,me
inimeste,inimene,S,pl g
kasvanud,kasvama|kasvanud,A|V,|nud|pl n|sg n
nõudlikkust,nõudlikkus,S,sg p
.,.,Z,
Elav,elav,A,sg n
ja,ja,J,
mõjukas,mõjukas,A,sg n
kodanikuühiskond,kodanikuühiskond,S,sg n
on,olema,V,b|vad
suur,suur,A,sg n
väärtus,väärtus,S,sg n
.,.,Z,
Seda,see,P,sg p
oleme,olema,V,me
ju,ju,D,
soovinud,soovima|soovinud,A|V,|nud|pl n|sg n
.,.,Z,
Kodanikuühiskonna,kodanikuühiskond,S,sg g
tugevnemine,tugevnemine,S,sg n
",",",",Z,
selle,see,P,sg g
nähtavaks,nähtav,A,sg tr
ja,ja,J,
mõjukaks,mõjukas,A,sg tr
muutumine,muutumine,S,sg n
on,olema,V,b|vad
olnud,olema|olnud,A|V,|nud|pl n|sg n
minu,mina,P,sg g
ametiajaks,ametiaeg,S,sg tr
seatud,seadma|seatud,A|V,|pl n|sg n|tud
eesmärk,eesmärk,S,sg n
juba,juba,D,
mu,mina,P,sg g
esimesest,esimene,O,sg el
kõnest,kõne,S,sg el
ametisse,amet,S,sg ill
astumisel,astumine,S,sg ad
2006.,2006.,O,?
aastal,aasta,S,sg ad
just,just,D|I,
selles,see,P,sg in
puldis,pult,S,sg in
.,.,Z,
Riigikogul,riigikogu,S,sg ad
ja,ja,J,
valitsusel,valitsus,S,sg ad
on,olema,V,b|vad
võimalus,võimalus,S,sg n
ja,ja,J,
kohustus,kohustus,S,sg n
rahva,rahvas,S,sg g
kasvanud,kasvama|kasvanud,A|V,|nud|pl n|sg n
ootustele,ootus,S,pl all
vastata,vastama,V,da
.,.,Z,
See,see,P,sg n
ei,ei,V,neg
ole,olema,V,o
lihtne,lihtne,A,sg n
",",",",Z,
kui,kui,D|J,
ühed,üks,P,pl n
ülistavad,ülistama,V,vad
teoreetilist,teoreetiline,A,sg p
marksismi,marksism,S,sg p
",",",",Z,
teised,teine,O|P,pl n
usuvad,uskuma,V,vad
pimesi,pimesi,D,
turgudesse,turg,S,pl ill
",",",",Z,
kolmandad,kolmas,O,pl n
kiruvad,kiruma,V,vad
kunagiste,kunagine,A,pl g
